Saved path: gelateria, bike_shop, salon, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, bank : 64256
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, pet_store, florist, gelateria, bank, pharmacy, hardware_store, bike_shop : 64581
Saved path: noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, hardware_store, salon : 53824
Saved path: pharmacy, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist : 52498
Saved path: bank, music_store, bakery, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, grocery_store, cafe, tech_shop, pizzeria, pet_store, gelateria : 58293
Saved path: salon, barber_shop, hardware_store, burger_joint, bookstore, pet_store, gelateria, music_store, florist, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 52642
Saved path: pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym, bookstore, cafe, tech_shop : 61043
Saved path: cafe, tech_shop, toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore : 57919
Saved path: toy_store, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, florist, gym, hardware_store, party_store, jewelry_store, salon : 61088
Saved path: pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, toy_store, burger_joint, bookstore, grocery_store, tech_shop : 57594
Saved path: bike_shop, party_store, bakery, bank, music_store, florist, pet_store, craft_shop, gym, burger_joint, tech_shop, grocery_store, toy_store, salon, barber_shop : 62722
Saved path: music_store, gelateria, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, hardware_store, jewelry_store, bike_shop, pharmacy : 60777
Saved path: craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, bakery, bank, gelateria : 58010
Saved path: noodle_house, toy_store, hardware_store, bakery, bike_shop, gelateria, bank, music_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store : 53955
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, cafe, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery : 60749
Saved path: jewelry_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, grocery_store, pizzeria, craft_shop, florist, bank, pharmacy, bike_shop, party_store : 66369
Saved path: pizzeria, pet_store, bank, music_store, jewelry_store, party_store, bakery, hardware_store, salon, noodle_house, grocery_store, tech_shop, burger_joint, cafe, dentist : 66698
Saved path: burger_joint, gym, craft_shop, pet_store, florist, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist : 59653
Saved path: grocery_store, cafe, bookstore, craft_shop, florist, gelateria, bank, music_store, bike_shop, jewelry_store, party_store, bakery, hardware_store, salon, toy_store : 59785
Saved path: craft_shop, pizzeria, tech_shop, clothing_store, toy_store, bookstore, burger_joint, gym, hardware_store, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store : 64060
Saved path: clothing_store, noodle_house, barber_shop, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria, dentist, cafe, tech_shop : 58448
Saved path: hardware_store, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist : 51740
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, gym, hardware_store, dentist, pizzeria, clothing_store, salon, barber_shop, bike_shop : 66377
