Saved path: grocery_store, clothing_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist, cafe : 59915
Saved path: jewelry_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, florist, music_store, bike_shop : 59320
Saved path: salon, clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, party_store : 65769
Saved path: jewelry_store, barber_shop, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, pharmacy, party_store : 61407
Saved path: florist, pet_store, pizzeria, tech_shop, clothing_store, noodle_house, cafe, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 60813
Saved path: grocery_store, clothing_store, toy_store, bike_shop, jewelry_store, party_store, pharmacy, bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore, cafe : 60784
Saved path: bookstore, burger_joint, hardware_store, pet_store, bank, music_store, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe : 66035
Saved path: bike_shop, bakery, pharmacy, gelateria, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store : 56886
Saved path: cafe, burger_joint, gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, grocery_store, dentist : 66320
Saved path: bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, craft_shop, bank, pharmacy, bakery, party_store : 66104
Saved path: gelateria, pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, gym, florist, music_store, bank : 58971
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, barber_shop, party_store, bakery, pharmacy, bank, florist, craft_shop, gym : 64070
Saved path: gelateria, florist, pizzeria, dentist, cafe, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 58858
Saved path: pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, pet_store, bank, gelateria : 66588
Saved path: bank, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, clothing_store, tech_shop, dentist, pizzeria, florist, music_store : 65817
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store : 57999
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, pet_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, burger_joint, bookstore, toy_store : 63531
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, pet_store, gym, pizzeria, dentist, cafe, tech_shop : 63486
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, hardware_store, bookstore, cafe, tech_shop, pizzeria, pet_store, gelateria : 69832
Saved path: barber_shop, salon, hardware_store, gym, toy_store, clothing_store, tech_shop, pizzeria, pet_store, bank, music_store, pharmacy, bakery, party_store, bike_shop : 67585
Saved path: bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, hardware_store, bakery, barber_shop, noodle_house, grocery_store : 52867
Saved path: gelateria, music_store, florist, pizzeria, grocery_store, bookstore, burger_joint, toy_store, salon, barber_shop, bakery, party_store, bike_shop, gym, pet_store : 63047
Saved path: barber_shop, salon, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, music_store, pharmacy, bakery, party_store, bike_shop : 58896
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, bakery, barber_shop, clothing_store, tech_shop, cafe, bookstore : 64875
Saved path: grocery_store, tech_shop, dentist, bookstore, hardware_store, gym, pet_store, gelateria, bank, music_store, jewelry_store, party_store, barber_shop, toy_store, clothing_store : 70386
Saved path: jewelry_store, party_store, bakery, gym, burger_joint, toy_store, salon, noodle_house, grocery_store, tech_shop, dentist, craft_shop, gelateria, bank, music_store : 64732
Saved path: pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, craft_shop : 67169
Saved path: bike_shop, jewelry_store, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop, dentist, cafe, tech_shop, noodle_house, bookstore, gym : 65564
