Saved path: clothing_store, salon, barber_shop, bike_shop, bakery, hardware_store, florist, music_store, bank, gelateria, pet_store, craft_shop, dentist, cafe, tech_shop : 61033
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bank, florist, gym, hardware_store, bookstore, cafe, dentist, tech_shop, clothing_store : 70452
Saved path: dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, gym, bakery, pharmacy, music_store, bank, pet_store, craft_shop : 55735
Saved path: bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, tech_shop, pizzeria, pet_store, florist, bank, bakery, party_store, jewelry_store : 73223
Saved path: bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, cafe, dentist, pet_store, bank, music_store, pharmacy, bakery, party_store : 63618
Saved path: grocery_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, dentist, cafe : 55142
Saved path: dentist, cafe, burger_joint, gym, craft_shop, gelateria, bank, music_store, jewelry_store, party_store, hardware_store, salon, grocery_store, tech_shop, pizzeria : 67788
Saved path: florist, gelateria, bike_shop, jewelry_store, party_store, bakery, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, pet_store : 58668
Saved path: cafe, dentist, pizzeria, craft_shop, music_store, bank, pharmacy, party_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop : 61054
Saved path: music_store, gelateria, pet_store, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, salon, hardware_store, jewelry_store, bike_shop, bakery, pharmacy : 54859
Saved path: bakery, bike_shop, party_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, burger_joint : 65927
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, pharmacy : 53657
Saved path: jewelry_store, party_store, bakery, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, pet_store, gelateria, music_store, bike_shop : 61332
Saved path: music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, cafe, burger_joint, hardware_store, craft_shop, pet_store, florist, bank : 64854
Saved path: pet_store, craft_shop, pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bakery, bike_shop, music_store, bank : 62318
