Saved path: pet_store, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, bakery, pharmacy, bank, florist : 62386
Saved path: hardware_store, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery : 59539
Saved path: party_store, jewelry_store, bike_shop, barber_shop, music_store, bank, gelateria, florist, craft_shop, bookstore, cafe, tech_shop, clothing_store, toy_store, hardware_store : 64177
Saved path: bike_shop, jewelry_store, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, toy_store, salon, hardware_store, gym : 62165
Saved path: gelateria, jewelry_store, bike_shop, bakery, barber_shop, salon, toy_store, noodle_house, tech_shop, cafe, bookstore, craft_shop, pet_store, florist, bank : 65024
Saved path: toy_store, bakery, bike_shop, party_store, pharmacy, bank, gelateria, florist, pet_store, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store : 58049
Saved path: hardware_store, gym, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 65838
Saved path: florist, music_store, bank, gelateria, jewelry_store, party_store, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop : 64464
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, gym : 64975
Saved path: barber_shop, toy_store, grocery_store, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop : 65010
Saved path: noodle_house, toy_store, burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop : 67068
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery : 66941
Saved path: toy_store, clothing_store, tech_shop, dentist, cafe, hardware_store, gym, craft_shop, pet_store, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 70087
Saved path: hardware_store, salon, barber_shop, bakery, pharmacy, music_store, bank, gelateria, craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store : 54979
Saved path: gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, bank : 63925
Saved path: bike_shop, party_store, bakery, burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, gym, craft_shop, florist, gelateria, bank, music_store : 53528
Saved path: music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, salon, toy_store, gym, bakery : 52617
Saved path: gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, pet_store : 61699
Saved path: hardware_store, gym, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, bookstore : 73705
Saved path: cafe, grocery_store, clothing_store, noodle_house, bookstore, hardware_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist : 50880
Saved path: party_store, bakery, barber_shop, salon, hardware_store, burger_joint, cafe, grocery_store, clothing_store, pizzeria, craft_shop, pet_store, florist, bank, pharmacy : 65626
Saved path: salon, barber_shop, bakery, party_store, bike_shop, music_store, bank, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint : 67593
Saved path: pizzeria, dentist, cafe, bookstore, grocery_store, toy_store, salon, hardware_store, bakery, gym, florist, music_store, bank, gelateria, pet_store : 60730
Saved path: pet_store, gym, bookstore, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria : 61015
Saved path: party_store, music_store, gelateria, florist, pet_store, gym, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, bike_shop : 63652
Saved path: toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, music_store, florist, pet_store, dentist, bookstore, burger_joint : 61927
Saved path: grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, florist, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store : 51320
