Saved path: music_store, bank, florist, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, bike_shop, bakery : 61830
Saved path: barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, gym, hardware_store, burger_joint, pizzeria, tech_shop, clothing_store, salon : 68565
Saved path: clothing_store, grocery_store, tech_shop, cafe, gym, hardware_store, party_store, jewelry_store, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist : 55595
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, bank, gym, hardware_store, bakery, barber_shop, salon, clothing_store, grocery_store, bookstore, cafe : 58467
Saved path: clothing_store, toy_store, hardware_store, burger_joint, bookstore, dentist, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house : 67022
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, clothing_store, noodle_house, bookstore, cafe, burger_joint, hardware_store, party_store, jewelry_store, bakery, pharmacy : 55029
Saved path: hardware_store, salon, tech_shop, burger_joint, gym, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store : 63635
Saved path: toy_store, barber_shop, bike_shop, party_store, hardware_store, gym, florist, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house : 56067
Saved path: hardware_store, gym, florist, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, pizzeria, dentist, cafe, bookstore, burger_joint : 60610
Saved path: florist, music_store, bank, gelateria, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, pet_store : 70875
Saved path: bookstore, cafe, dentist, craft_shop, music_store, bank, gelateria, bike_shop, bakery, gym, hardware_store, salon, toy_store, grocery_store, tech_shop : 58289
Saved path: pharmacy, music_store, craft_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, toy_store, noodle_house, salon, barber_shop, bike_shop, party_store : 56656
Saved path: burger_joint, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank, pet_store, gym, bakery, jewelry_store, barber_shop, noodle_house, clothing_store : 67883
Saved path: music_store, florist, pizzeria, dentist, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, pharmacy, gelateria, bank : 52783
Saved path: salon, jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store : 57266
Saved path: bookstore, burger_joint, hardware_store, barber_shop, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, clothing_store, noodle_house : 53167
Saved path: dentist, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, gym, burger_joint, salon, grocery_store, cafe : 58019
Saved path: party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store : 60114
Saved path: bank, music_store, pharmacy, jewelry_store, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store : 64989
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, gelateria, florist, pet_store, craft_shop, pizzeria, cafe, burger_joint : 55288
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, craft_shop, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store : 58929
Saved path: jewelry_store, bike_shop, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, cafe, pizzeria, florist, gelateria, music_store, pharmacy, bakery : 58774
Saved path: burger_joint, gym, florist, bank, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore : 66780
Saved path: cafe, dentist, craft_shop, florist, bank, music_store, pharmacy, jewelry_store, party_store, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore : 60090
Saved path: pharmacy, music_store, bank, gelateria, pet_store, gym, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store : 64896
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy, bank, florist, pet_store, pizzeria, cafe, burger_joint, bookstore : 66417
Saved path: cafe, burger_joint, pet_store, gelateria, bank, music_store, jewelry_store, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 64744
Saved path: cafe, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, gym, burger_joint, bookstore : 64068
Saved path: hardware_store, gym, craft_shop, pet_store, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, clothing_store, tech_shop, dentist, bookstore, burger_joint : 61996
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, hardware_store, gym, florist, gelateria, bank, music_store, pharmacy, bakery, barber_shop : 49851
