Saved path: florist, pizzeria, tech_shop, grocery_store, clothing_store, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria : 57643
Saved path: jewelry_store, party_store, bakery, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym : 64965
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, bookstore : 69759
Saved path: pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, dentist : 63647
Saved path: gym, craft_shop, pizzeria, tech_shop, burger_joint, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, pet_store : 63175
Saved path: burger_joint, bookstore, craft_shop, pet_store, gelateria, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store : 56051
Saved path: grocery_store, pizzeria, pet_store, bank, gelateria, pharmacy, party_store, bakery, barber_shop, hardware_store, gym, burger_joint, bookstore, cafe, clothing_store : 65540
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, music_store, florist, gym, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon : 61118
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, burger_joint, cafe, dentist, pet_store, florist, gym, hardware_store : 59861
Saved path: toy_store, clothing_store, burger_joint, bookstore, pizzeria, craft_shop, pet_store, florist, music_store, bank, bakery, bike_shop, party_store, jewelry_store, salon : 70070
Saved path: cafe, burger_joint, hardware_store, party_store, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, pizzeria, florist, music_store, bank, pet_store, bookstore : 71480
Saved path: bakery, music_store, florist, pet_store, craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, clothing_store, noodle_house, barber_shop, bike_shop, party_store : 59597
Saved path: noodle_house, toy_store, party_store, pharmacy, bank, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store : 64418
