Saved path: gelateria, florist, pet_store, craft_shop, gym, bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, bike_shop, jewelry_store, pharmacy : 55181
Saved path: gelateria, florist, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy : 50857
Saved path: grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store, pet_store, craft_shop, hardware_store, burger_joint, bookstore, cafe : 57220
Saved path: grocery_store, tech_shop, cafe, dentist, pizzeria, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, noodle_house : 65349
Saved path: tech_shop, bookstore, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria : 64720
Saved path: florist, craft_shop, dentist, cafe, burger_joint, hardware_store, toy_store, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, jewelry_store, music_store : 58078
Saved path: noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint : 62169
Saved path: toy_store, salon, noodle_house, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, florist, gym : 56400
Saved path: party_store, jewelry_store, bike_shop, bakery, bank, gelateria, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store : 60667
Saved path: jewelry_store, bakery, hardware_store, florist, music_store, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store, barber_shop : 69820
