Saved path: pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, tech_shop, dentist, craft_shop, florist, gelateria, bank, music_store : 67278
Saved path: bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, florist : 64137
Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, dentist, cafe, clothing_store, toy_store, hardware_store, barber_shop : 67947
Saved path: noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, music_store, gelateria, florist, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store : 59874
Saved path: florist, pet_store, gym, burger_joint, cafe, bookstore, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store : 60797
Saved path: gym, burger_joint, bookstore, tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop : 62439
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, craft_shop, florist : 58120
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, cafe, hardware_store, gym, pet_store, florist, bank, pharmacy, bakery, bike_shop, barber_shop, salon : 64009
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, burger_joint, gym, pet_store, florist, bank, music_store, pharmacy, bakery : 64626
Saved path: clothing_store, grocery_store, burger_joint, bookstore, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house : 57848
Saved path: jewelry_store, bakery, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, cafe, grocery_store, pizzeria, craft_shop, pet_store, gelateria, music_store, bike_shop : 62482
Saved path: florist, bookstore, burger_joint, hardware_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank : 69171
Saved path: burger_joint, toy_store, salon, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, gelateria, jewelry_store, party_store, bakery, hardware_store, gym : 57681
Saved path: grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, tech_shop : 56775
Saved path: burger_joint, cafe, dentist, pizzeria, pet_store, florist, music_store, jewelry_store, bike_shop, bakery, hardware_store, salon, noodle_house, clothing_store, toy_store : 60298
Saved path: music_store, gelateria, florist, craft_shop, gym, hardware_store, cafe, dentist, tech_shop, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, pharmacy : 58901
Saved path: clothing_store, toy_store, hardware_store, barber_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store : 56484
Saved path: gym, craft_shop, florist, music_store, bakery, bike_shop, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint : 51287
Saved path: pizzeria, tech_shop, grocery_store, noodle_house, toy_store, gym, florist, gelateria, bike_shop, jewelry_store, hardware_store, burger_joint, bookstore, cafe, dentist : 55960
Saved path: bakery, gelateria, music_store, florist, pet_store, gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, clothing_store, toy_store, salon, hardware_store : 53440
Saved path: grocery_store, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, pharmacy, bakery, barber_shop, salon, noodle_house, clothing_store : 48348
Saved path: pharmacy, gelateria, music_store, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, salon, barber_shop, jewelry_store, bakery : 60239
Saved path: salon, noodle_house, clothing_store, tech_shop, dentist, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop : 64898
Saved path: party_store, bakery, gym, florist, gelateria, bank, pet_store, craft_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store : 64524
Saved path: bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, gym, bookstore, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, pet_store : 66263
Saved path: pharmacy, gelateria, florist, pet_store, pizzeria, dentist, bookstore, grocery_store, clothing_store, salon, toy_store, gym, bakery, party_store, jewelry_store : 61878
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bakery, party_store, jewelry_store, salon, toy_store : 52620
Saved path: pet_store, gelateria, bank, music_store, bike_shop, party_store, hardware_store, gym, bookstore, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop : 61085
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, hardware_store, barber_shop, salon : 55438
Saved path: pharmacy, gelateria, florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store : 55154
Saved path: pet_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, noodle_house, salon, toy_store, gym, jewelry_store, party_store, bakery, pharmacy, bank : 68948
Saved path: jewelry_store, party_store, bakery, hardware_store, gym, music_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 59386
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, gym, craft_shop, florist, bank, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house : 70154
Saved path: burger_joint, tech_shop, grocery_store, clothing_store, salon, hardware_store, party_store, bike_shop, bakery, pharmacy, music_store, florist, pet_store, craft_shop, gym : 51627
Saved path: salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, cafe, dentist, pet_store, florist, bank, music_store, pharmacy, bakery, barber_shop : 57187
