Saved path: tech_shop, pizzeria, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery, bike_shop, hardware_store, salon, clothing_store : 53079
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, pet_store, craft_shop : 61954
Saved path: grocery_store, tech_shop, burger_joint, bookstore, dentist, pet_store, florist, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store : 54163
Saved path: craft_shop, gym, burger_joint, bookstore, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store : 64133
Saved path: salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, gym, dentist, tech_shop, clothing_store, toy_store : 69602
Saved path: salon, barber_shop, party_store, bakery, pharmacy, bank, music_store, florist, craft_shop, pizzeria, gym, hardware_store, bookstore, grocery_store, toy_store : 66281
Saved path: craft_shop, gym, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, florist, pet_store : 49593
Saved path: bakery, party_store, bike_shop, music_store, bank, florist, pet_store, craft_shop, dentist, tech_shop, bookstore, burger_joint, hardware_store, salon, barber_shop : 67001
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, dentist, cafe, tech_shop : 58992
Saved path: bakery, music_store, gelateria, pet_store, dentist, cafe, bookstore, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store : 63860
Saved path: party_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, gym, pet_store, bank, music_store, bakery : 65806
Saved path: toy_store, salon, barber_shop, bakery, party_store, music_store, gelateria, florist, pet_store, craft_shop, hardware_store, burger_joint, tech_shop, grocery_store, clothing_store : 54887
Saved path: bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, gelateria, pet_store, craft_shop, gym, hardware_store, burger_joint : 53186
Saved path: music_store, florist, craft_shop, gym, bookstore, cafe, dentist, tech_shop, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, gelateria : 59461
Saved path: noodle_house, hardware_store, burger_joint, cafe, tech_shop, dentist, pizzeria, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 60777
Saved path: bank, gelateria, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, party_store, jewelry_store, bakery : 63776
Saved path: gym, bike_shop, jewelry_store, bakery, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, burger_joint, toy_store, salon, hardware_store : 66265
Saved path: party_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery : 64716
Saved path: clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bakery, gym, toy_store, salon, noodle_house : 53255
Saved path: bike_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 57811
Saved path: craft_shop, gym, hardware_store, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, party_store, music_store, florist, pet_store : 60742
Saved path: noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, gym, pet_store, gelateria, florist, pizzeria, dentist, cafe, bookstore, clothing_store : 62405
Saved path: pet_store, gelateria, music_store, bakery, party_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, dentist, pizzeria, craft_shop : 60006
Saved path: pharmacy, gelateria, florist, dentist, bookstore, gym, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery : 60294
Saved path: barber_shop, salon, toy_store, hardware_store, bookstore, cafe, grocery_store, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store : 67678
Saved path: gelateria, pharmacy, bakery, jewelry_store, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, craft_shop, pet_store, florist, music_store, bank : 58521
Saved path: florist, music_store, jewelry_store, party_store, bakery, gym, hardware_store, salon, noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop : 58155
Saved path: cafe, burger_joint, gym, pizzeria, craft_shop, pet_store, florist, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store : 62551
Saved path: grocery_store, cafe, tech_shop, pizzeria, florist, music_store, bank, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store : 59827
Saved path: toy_store, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, music_store, gelateria, pet_store, dentist, bookstore, burger_joint, hardware_store : 62638
Saved path: jewelry_store, bakery, pharmacy, bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, salon : 62264
Saved path: grocery_store, tech_shop, bookstore, dentist, craft_shop, florist, gelateria, bank, music_store, pharmacy, bike_shop, jewelry_store, salon, toy_store, clothing_store : 62503
Saved path: pharmacy, gelateria, bank, gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store : 68197
Saved path: bike_shop, party_store, bakery, florist, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store : 53051
Saved path: bakery, party_store, bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, gelateria, bank : 65761
Saved path: pet_store, gelateria, bank, music_store, jewelry_store, bike_shop, bakery, hardware_store, burger_joint, cafe, grocery_store, clothing_store, bookstore, gym, craft_shop : 58679
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, toy_store : 67545
Saved path: party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, hardware_store, pet_store, gelateria, bank, music_store, pharmacy : 65306
Saved path: pet_store, florist, music_store, pharmacy, bakery, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist : 54496
Saved path: music_store, pharmacy, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, bank : 70312
Saved path: noodle_house, toy_store, burger_joint, gym, hardware_store, bike_shop, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store : 55937
Saved path: gelateria, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, gym, craft_shop, pet_store : 57333
Saved path: pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, cafe, hardware_store, gym : 58091
Saved path: craft_shop, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, salon, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store : 56067
Saved path: noodle_house, clothing_store, burger_joint, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, hardware_store, party_store, bike_shop, barber_shop, salon : 65891
Saved path: cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store, bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop : 67007
Saved path: clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, pet_store, gym, burger_joint, cafe, dentist, pizzeria : 71447
Saved path: bookstore, burger_joint, toy_store, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, craft_shop, pizzeria, tech_shop, grocery_store : 66326
Saved path: salon, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, craft_shop, florist, pet_store, gym, party_store, jewelry_store, barber_shop : 61445
Saved path: salon, noodle_house, toy_store, burger_joint, tech_shop, dentist, craft_shop, pet_store, bank, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop : 67320
Saved path: pharmacy, gelateria, florist, pet_store, gym, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery : 60862
Saved path: gym, bookstore, tech_shop, dentist, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store : 68097
