Saved path: gelateria, music_store, florist, pet_store, craft_shop, pizzeria, gym, burger_joint, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy : 61971
Saved path: burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, music_store, pizzeria, gym, hardware_store : 58668
Saved path: bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, hardware_store, gym, pet_store : 64492
Saved path: pizzeria, dentist, grocery_store, clothing_store, burger_joint, gym, hardware_store, bike_shop, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop : 64999
Saved path: party_store, pharmacy, bank, florist, pet_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, clothing_store, salon, hardware_store, jewelry_store : 68820
Saved path: toy_store, salon, barber_shop, party_store, pharmacy, music_store, pet_store, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, clothing_store, noodle_house : 61780
Saved path: bank, music_store, florist, pet_store, bookstore, burger_joint, cafe, clothing_store, toy_store, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, gelateria : 59992
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery, pharmacy, florist, craft_shop, gym, burger_joint, bookstore : 53358
Saved path: party_store, jewelry_store, barber_shop, hardware_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, bank, music_store, pharmacy : 68631
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, craft_shop, florist, bank, gym, hardware_store : 65202
Saved path: toy_store, salon, hardware_store, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, dentist, cafe, bookstore, grocery_store, clothing_store : 62210
Saved path: bike_shop, party_store, bakery, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, dentist, craft_shop, pet_store, bank, music_store, florist, gym : 61430
Saved path: bakery, bike_shop, hardware_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy : 56648
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bakery, pharmacy, gelateria, bank : 53009
Saved path: bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, florist, craft_shop, hardware_store, burger_joint : 51907
Saved path: craft_shop, pet_store, florist, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria : 57947
Saved path: clothing_store, noodle_house, salon, toy_store, hardware_store, burger_joint, bookstore, florist, music_store, bank, pet_store, craft_shop, dentist, cafe, tech_shop : 54674
Saved path: gym, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, toy_store, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint : 51609
Saved path: bakery, salon, noodle_house, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy : 61398
Saved path: craft_shop, pet_store, florist, music_store, party_store, barber_shop, noodle_house, clothing_store, grocery_store, toy_store, hardware_store, burger_joint, bookstore, dentist, pizzeria : 60380
Saved path: dentist, pizzeria, florist, music_store, gelateria, pet_store, gym, hardware_store, party_store, bike_shop, bakery, barber_shop, salon, grocery_store, burger_joint : 63062
Saved path: pizzeria, tech_shop, cafe, grocery_store, clothing_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, gelateria, music_store, gym, craft_shop : 60829
Saved path: pharmacy, music_store, gelateria, pet_store, gym, hardware_store, burger_joint, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery : 56912
Saved path: noodle_house, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop : 61226
Saved path: toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, bike_shop, bakery, pharmacy, music_store, bank, florist, gym : 47845
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, party_store, hardware_store, noodle_house, grocery_store, cafe : 53385
Saved path: hardware_store, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop : 55818
Saved path: florist, gelateria, music_store, jewelry_store, party_store, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop : 54195
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, dentist, pet_store, gelateria : 68995
Saved path: pet_store, bank, bakery, party_store, bike_shop, barber_shop, salon, toy_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym : 69073
Saved path: bakery, party_store, pharmacy, bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 58989
Saved path: dentist, tech_shop, grocery_store, bookstore, burger_joint, toy_store, barber_shop, jewelry_store, party_store, gym, florist, gelateria, bank, pet_store, craft_shop : 70036
