Saved path: burger_joint, hardware_store, gym, craft_shop, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, clothing_store, tech_shop, dentist, cafe, bookstore : 57666
Saved path: salon, toy_store, clothing_store, burger_joint, bookstore, cafe, dentist, pet_store, bank, music_store, florist, gym, hardware_store, bike_shop, jewelry_store : 69691
Saved path: pizzeria, cafe, bookstore, burger_joint, gym, pet_store, florist, gelateria, music_store, bike_shop, hardware_store, salon, toy_store, clothing_store, tech_shop : 56850
Saved path: music_store, florist, craft_shop, gym, bookstore, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy : 57834
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, bank, bakery, jewelry_store : 68937
Saved path: bakery, pharmacy, music_store, bank, gelateria, gym, hardware_store, burger_joint, bookstore, dentist, tech_shop, clothing_store, toy_store, salon, barber_shop : 57131
Saved path: toy_store, barber_shop, party_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, bookstore, burger_joint, hardware_store : 67964
Saved path: pizzeria, dentist, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, florist, craft_shop : 58573
Saved path: salon, barber_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, dentist, tech_shop, cafe, bookstore, hardware_store, toy_store : 62249
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, jewelry_store, party_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store : 64464
Saved path: gelateria, jewelry_store, party_store, bakery, hardware_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, craft_shop, pet_store, florist, music_store, bank : 59517
Saved path: dentist, cafe, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, gelateria, bank, florist, pet_store : 69817
Saved path: burger_joint, cafe, dentist, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, gym : 58026
Saved path: bike_shop, jewelry_store, bakery, barber_shop, salon, toy_store, burger_joint, bookstore, pizzeria, florist, music_store, bank, pet_store, gym, hardware_store : 71421
Saved path: grocery_store, toy_store, hardware_store, bike_shop, jewelry_store, bakery, gelateria, bank, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop : 66420
Saved path: burger_joint, bakery, bike_shop, music_store, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store : 48039
Saved path: pharmacy, music_store, gelateria, pet_store, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, toy_store, bakery, bike_shop, party_store : 54212
Saved path: hardware_store, gym, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bakery, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store : 59063
Saved path: craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, pharmacy, music_store, bank, gelateria : 54937
Saved path: bakery, party_store, salon, clothing_store, grocery_store, cafe, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy : 63471
Saved path: cafe, burger_joint, tech_shop, clothing_store, toy_store, salon, hardware_store, party_store, bakery, pharmacy, gelateria, bank, florist, craft_shop, dentist : 58229
Saved path: jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, pharmacy : 59496
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, gym, florist, gelateria, bank : 55818
Saved path: clothing_store, salon, hardware_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, pizzeria, cafe, bookstore, grocery_store : 65923
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, party_store, bakery, pharmacy, gelateria, bank, pet_store, dentist : 63564
Saved path: tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, pet_store, gym, hardware_store, party_store, barber_shop, toy_store, bookstore, grocery_store : 68149
Saved path: bank, gelateria, bakery, bike_shop, jewelry_store, salon, noodle_house, toy_store, burger_joint, cafe, grocery_store, pizzeria, craft_shop, pet_store, florist : 67605
