Saved path: bike_shop, jewelry_store, party_store, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, bank, music_store : 67748
Saved path: pizzeria, tech_shop, cafe, bookstore, burger_joint, salon, barber_shop, jewelry_store, hardware_store, gym, florist, music_store, bank, gelateria, pet_store : 70801
Saved path: bank, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, gym, hardware_store, bike_shop, jewelry_store : 66658
Saved path: bakery, pharmacy, bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, hardware_store, party_store : 55786
Saved path: salon, hardware_store, gym, bike_shop, jewelry_store, music_store, bank, pet_store, craft_shop, pizzeria, grocery_store, cafe, bookstore, burger_joint, toy_store : 70131
Saved path: gelateria, florist, pet_store, gym, pizzeria, cafe, burger_joint, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank : 71527
Saved path: bookstore, cafe, dentist, clothing_store, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, gym, hardware_store : 69801
Saved path: gelateria, gym, craft_shop, pizzeria, tech_shop, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank : 66850
Saved path: pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist, cafe, hardware_store, gym, pet_store, florist, bank : 69878
Saved path: florist, music_store, pharmacy, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, gym, pet_store : 59514
Saved path: bike_shop, jewelry_store, bakery, bank, music_store, florist, gym, hardware_store, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop : 63269
Saved path: gym, bike_shop, jewelry_store, burger_joint, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, pet_store, bank, gelateria, florist : 69135
Saved path: bookstore, clothing_store, noodle_house, toy_store, gym, craft_shop, pet_store, bank, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint : 60036
Saved path: toy_store, hardware_store, gym, bookstore, cafe, pizzeria, pet_store, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house : 71934
Saved path: barber_shop, salon, toy_store, tech_shop, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, jewelry_store : 63650
Saved path: gelateria, music_store, florist, gym, party_store, barber_shop, salon, noodle_house, grocery_store, cafe, burger_joint, dentist, pizzeria, craft_shop, pet_store : 60273
Saved path: dentist, bookstore, burger_joint, gym, pet_store, gelateria, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop : 65565
Saved path: jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, grocery_store, tech_shop, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy : 69881
Saved path: bakery, party_store, bike_shop, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, music_store : 55174
Saved path: burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, bike_shop, party_store, bank, gelateria, craft_shop, pizzeria, dentist : 64531
Saved path: bookstore, burger_joint, gym, pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store, salon, toy_store, noodle_house, clothing_store, cafe : 62392
Saved path: cafe, tech_shop, pizzeria, gym, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store : 67180
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, hardware_store, toy_store, tech_shop, noodle_house, salon, barber_shop, bike_shop : 57823
Saved path: clothing_store, grocery_store, cafe, dentist, pizzeria, florist, music_store, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, noodle_house : 56152
Saved path: burger_joint, hardware_store, gym, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, dentist : 60797
Saved path: burger_joint, toy_store, clothing_store, noodle_house, salon, hardware_store, bakery, bike_shop, gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore : 50321
Saved path: music_store, pharmacy, bakery, bike_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, pet_store, bank : 55108
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, gelateria, bank, music_store, florist, craft_shop, gym, burger_joint, dentist : 60786
Saved path: pizzeria, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, gelateria, florist, gym, burger_joint, bookstore, cafe : 58915
Saved path: gelateria, pet_store, gym, hardware_store, party_store, bike_shop, barber_shop, salon, noodle_house, bookstore, cafe, tech_shop, pizzeria, music_store, bank : 69696
Saved path: clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, bakery, pharmacy, florist, pet_store, craft_shop, gym, burger_joint, bookstore, dentist : 57396
Saved path: hardware_store, jewelry_store, bike_shop, music_store, bank, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, salon : 68331
Saved path: gelateria, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore, cafe, clothing_store, dentist, craft_shop, pet_store : 59571
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, gym, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, bookstore : 53609
Saved path: gelateria, florist, gym, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, barber_shop, bike_shop, bakery, bank : 60700
Saved path: gym, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint : 51987
Saved path: pet_store, florist, gelateria, pharmacy, jewelry_store, bike_shop, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, pizzeria, craft_shop : 58742
Saved path: craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, salon, toy_store, gym, bike_shop, party_store, bakery, pharmacy, bank, pet_store : 66124
Saved path: tech_shop, dentist, pet_store, bank, florist, gym, bike_shop, party_store, bakery, hardware_store, salon, noodle_house, burger_joint, bookstore, cafe : 67185
Saved path: toy_store, salon, barber_shop, party_store, bakery, gelateria, music_store, florist, pet_store, pizzeria, dentist, burger_joint, tech_shop, grocery_store, noodle_house : 59989
Saved path: burger_joint, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, craft_shop, dentist, tech_shop, grocery_store, bookstore : 66304
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, hardware_store : 58502
Saved path: craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, pharmacy, florist : 53290
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, florist, music_store, pharmacy, bakery : 53035
Saved path: grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, music_store, bank, pharmacy, bakery, jewelry_store, barber_shop, toy_store, clothing_store : 65123
Saved path: grocery_store, bookstore, cafe, dentist, craft_shop, florist, bank, gelateria, hardware_store, bike_shop, party_store, bakery, barber_shop, noodle_house, clothing_store : 62200
Saved path: party_store, jewelry_store, bike_shop, gym, toy_store, noodle_house, grocery_store, bookstore, dentist, pet_store, florist, gelateria, bank, music_store, pharmacy : 66455
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, gym, burger_joint, dentist, pizzeria, pet_store, gelateria, pharmacy : 64478
Saved path: tech_shop, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, music_store, bank, pet_store, craft_shop, bookstore, burger_joint, cafe : 63468
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, noodle_house, clothing_store, burger_joint : 69238
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, pharmacy, gelateria : 49634
Saved path: pharmacy, gelateria, music_store, florist, pet_store, gym, pizzeria, cafe, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery : 60572
Saved path: gym, pet_store, gelateria, bank, music_store, bakery, bike_shop, jewelry_store, salon, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint : 69480
Saved path: cafe, dentist, tech_shop, grocery_store, clothing_store, salon, barber_shop, party_store, pharmacy, gelateria, bank, pet_store, gym, burger_joint, bookstore : 63363
Saved path: barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, bookstore, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, jewelry_store : 59957
Saved path: dentist, craft_shop, gym, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store : 67094
Saved path: barber_shop, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store : 67765
Saved path: bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, gelateria, music_store, pharmacy, barber_shop : 62088
Saved path: music_store, jewelry_store, bike_shop, bakery, barber_shop, toy_store, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store : 64391
Saved path: toy_store, salon, barber_shop, party_store, pharmacy, music_store, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, tech_shop, grocery_store, noodle_house : 53849
Saved path: burger_joint, bookstore, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, dentist, cafe : 60606
Saved path: pharmacy, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gym, pet_store, bank : 70907
Saved path: tech_shop, grocery_store, dentist, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, burger_joint : 58708
Saved path: bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bakery, bike_shop, jewelry_store, music_store, bank, gelateria, florist, gym : 57477
Saved path: bookstore, cafe, dentist, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, bike_shop, gym, toy_store, clothing_store, grocery_store : 56727
