Saved path: pet_store, gelateria, bank, music_store, pharmacy, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym : 58668
Saved path: tech_shop, pizzeria, craft_shop, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint : 66083
Saved path: music_store, bike_shop, bakery, barber_shop, salon, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, gym, pet_store, gelateria, bank : 60572
Saved path: bookstore, dentist, florist, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint : 66437
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 64457
Saved path: gelateria, pet_store, craft_shop, dentist, tech_shop, clothing_store, toy_store, gym, hardware_store, salon, barber_shop, bike_shop, pharmacy, music_store, bank : 62201
Saved path: hardware_store, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, florist : 67219
Saved path: dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, pet_store, pizzeria : 63968
Saved path: salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, gym, burger_joint, cafe, clothing_store, toy_store : 57615
Saved path: pizzeria, tech_shop, grocery_store, cafe, burger_joint, toy_store, salon, hardware_store, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, florist : 63604
Saved path: florist, bank, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store : 67913
Saved path: cafe, burger_joint, bookstore, grocery_store, noodle_house, salon, jewelry_store, party_store, bike_shop, gym, pet_store, florist, craft_shop, pizzeria, dentist : 60236
Saved path: grocery_store, bookstore, pizzeria, craft_shop, gym, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house : 61801
Saved path: toy_store, barber_shop, jewelry_store, party_store, bakery, bank, pet_store, gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store : 69488
Saved path: craft_shop, florist, bank, gelateria, jewelry_store, bike_shop, bakery, barber_shop, salon, toy_store, clothing_store, bookstore, cafe, tech_shop, pizzeria : 65329
Saved path: barber_shop, salon, toy_store, hardware_store, gym, cafe, tech_shop, pizzeria, craft_shop, gelateria, bank, music_store, pharmacy, party_store, jewelry_store : 68432
Saved path: bookstore, dentist, tech_shop, grocery_store, noodle_house, barber_shop, bakery, jewelry_store, gelateria, bank, pet_store, craft_shop, gym, hardware_store, burger_joint : 67243
Saved path: cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria : 57839
Saved path: pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, barber_shop, party_store, bakery, pharmacy, bank, music_store, craft_shop : 64685
Saved path: bank, music_store, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym : 56908
Saved path: hardware_store, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, cafe : 62317
