Saved path: bakery, party_store, bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, cafe, dentist, pizzeria, pet_store, bank, music_store, pharmacy : 64569
Saved path: toy_store, noodle_house, burger_joint, bookstore, cafe, pizzeria, florist, music_store, bank, gelateria, pharmacy, party_store, bike_shop, hardware_store, gym : 60422
Saved path: salon, barber_shop, jewelry_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, toy_store : 65855
Saved path: burger_joint, cafe, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore : 53469
Saved path: hardware_store, gym, craft_shop, gelateria, jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint : 53036
Saved path: pet_store, florist, gelateria, music_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop : 55819
Saved path: pharmacy, gelateria, pet_store, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, party_store : 57495
Saved path: burger_joint, gym, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bakery, party_store, barber_shop, toy_store, clothing_store, tech_shop, bookstore : 53614
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, bank, florist, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, hardware_store, toy_store : 68120
Saved path: tech_shop, clothing_store, toy_store, hardware_store, bakery, bike_shop, music_store, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria : 51168
Saved path: noodle_house, clothing_store, tech_shop, dentist, craft_shop, music_store, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, hardware_store, gym, toy_store : 67806
Saved path: grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, music_store, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house : 68437
Saved path: florist, bank, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint, gym, pet_store : 71879
Saved path: cafe, bookstore, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, bank, gelateria, florist, pet_store, gym, pizzeria, dentist : 71685
Saved path: dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, bakery, party_store, barber_shop, noodle_house, clothing_store, grocery_store : 51811
Saved path: tech_shop, grocery_store, noodle_house, toy_store, hardware_store, salon, barber_shop, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, craft_shop, bookstore : 65044
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, grocery_store, bookstore, dentist, craft_shop, florist, gelateria, music_store, pharmacy : 55461
Saved path: cafe, dentist, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy, bike_shop, jewelry_store, party_store, toy_store, clothing_store, bookstore, burger_joint : 54901
Saved path: bakery, pharmacy, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, dentist, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store : 67324
Saved path: clothing_store, noodle_house, toy_store, hardware_store, bike_shop, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store : 52766
Saved path: pizzeria, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, bike_shop, pharmacy, music_store, bank, florist, pet_store : 59523
Saved path: bike_shop, jewelry_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, florist, music_store, gelateria, gym, hardware_store : 57378
Saved path: gelateria, music_store, bike_shop, party_store, bakery, toy_store, salon, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, pet_store : 60053
Saved path: hardware_store, gym, florist, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, salon, jewelry_store, party_store, bike_shop : 63015
Saved path: bookstore, hardware_store, gym, pet_store, florist, bank, pharmacy, bakery, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe : 62706
Saved path: bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, jewelry_store, party_store, bakery, pharmacy, bank, florist, pet_store, dentist : 67049
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store : 58982
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, dentist, pizzeria, florist, music_store, pharmacy : 54141
Saved path: toy_store, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, florist, music_store, bank, gelateria, pharmacy, jewelry_store, hardware_store, salon : 59905
Saved path: music_store, pharmacy, hardware_store, jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, burger_joint, cafe, dentist, craft_shop, florist : 56013
Saved path: burger_joint, gym, bike_shop, party_store, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop, dentist, clothing_store, noodle_house, bookstore : 61135
Saved path: music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, tech_shop, pizzeria, craft_shop : 56781
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, bike_shop, party_store, hardware_store, pharmacy, pet_store : 59954
Saved path: clothing_store, noodle_house, salon, barber_shop, bakery, jewelry_store, gelateria, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, dentist, grocery_store : 65737
Saved path: bakery, party_store, jewelry_store, bike_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pet_store, bank, music_store : 64901
Saved path: music_store, pharmacy, bakery, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, pizzeria, florist, gelateria, bank : 58939
Saved path: florist, pet_store, pizzeria, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store : 67138
Saved path: gym, hardware_store, cafe, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 69733
Saved path: noodle_house, barber_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store : 65696
Saved path: barber_shop, bike_shop, bakery, bank, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon : 60270
Saved path: gelateria, bike_shop, jewelry_store, salon, toy_store, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, florist, music_store, bank : 66336
Saved path: pet_store, bank, gelateria, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, hardware_store, gym, craft_shop : 56408
Saved path: bike_shop, bakery, bank, gelateria, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store : 66768
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, salon, noodle_house, clothing_store, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, pet_store : 65603
Saved path: tech_shop, bookstore, cafe, dentist, florist, music_store, gelateria, pharmacy, hardware_store, bakery, jewelry_store, barber_shop, salon, noodle_house, grocery_store : 58308
Saved path: gelateria, florist, pet_store, gym, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, pharmacy : 57653
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, clothing_store, cafe, dentist, florist, gelateria : 62811
Saved path: music_store, gelateria, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, bike_shop, jewelry_store, pharmacy : 57616
Saved path: tech_shop, pizzeria, craft_shop, florist, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, cafe : 50514
Saved path: bike_shop, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store, gelateria : 63207
Saved path: dentist, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, florist, pizzeria : 58364
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, gelateria, music_store, party_store, hardware_store, gym, toy_store : 53115
Saved path: pet_store, bank, music_store, florist, hardware_store, party_store, jewelry_store, bike_shop, bakery, barber_shop, salon, clothing_store, bookstore, dentist, craft_shop : 71240
Saved path: burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon, noodle_house : 64710
Saved path: florist, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop, jewelry_store, bank : 65044
Saved path: bakery, bike_shop, party_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, dentist, craft_shop, gelateria, bank, music_store : 58539
