Saved path: gelateria, music_store, florist, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, party_store, bakery, pharmacy : 48926
Saved path: grocery_store, tech_shop, dentist, pizzeria, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, toy_store, burger_joint, bookstore : 61591
Saved path: toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, gelateria, pet_store, gym, hardware_store, burger_joint, bookstore, grocery_store : 54953
Saved path: pharmacy, gelateria, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, party_store, bakery : 56044
Saved path: noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, gym, pet_store, bank, music_store, florist, pizzeria, cafe, bookstore, toy_store : 72110
Saved path: pet_store, pizzeria, dentist, cafe, grocery_store, noodle_house, salon, toy_store, gym, bike_shop, party_store, pharmacy, bank, music_store, florist : 67342
Saved path: bakery, bike_shop, party_store, hardware_store, gym, burger_joint, bookstore, grocery_store, dentist, pizzeria, florist, music_store, bank, gelateria, pharmacy : 58567
Saved path: bank, music_store, pharmacy, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, noodle_house, grocery_store, pizzeria, craft_shop, pet_store : 65716
Saved path: florist, gelateria, pharmacy, bakery, jewelry_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria : 55356
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, salon, jewelry_store, bike_shop, gelateria, bank : 69166
Saved path: bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, cafe, bookstore, hardware_store, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store : 61474
Saved path: pet_store, craft_shop, dentist, clothing_store, tech_shop, cafe, bookstore, hardware_store, bakery, bike_shop, barber_shop, gelateria, bank, music_store, florist : 61338
Saved path: burger_joint, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, florist, pet_store, craft_shop, gym, hardware_store : 53147
Saved path: craft_shop, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, tech_shop, dentist : 55720
Saved path: pet_store, florist, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, hardware_store, gym : 60045
Saved path: dentist, cafe, tech_shop, noodle_house, bookstore, hardware_store, bakery, party_store, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop : 63791
Saved path: jewelry_store, gelateria, bank, florist, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, party_store : 72583
