Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint, cafe, dentist, noodle_house, salon : 66574
Saved path: party_store, jewelry_store, music_store, bank, gelateria, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store : 64825
Saved path: bank, music_store, bakery, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, dentist, craft_shop, florist, gelateria : 54856
Saved path: craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, pet_store : 57520
Saved path: pizzeria, dentist, tech_shop, clothing_store, cafe, bookstore, burger_joint, hardware_store, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, craft_shop : 54707
Saved path: pizzeria, dentist, cafe, hardware_store, gym, pet_store, bank, pharmacy, bakery, party_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop : 65223
Saved path: cafe, bookstore, hardware_store, gym, pizzeria, florist, music_store, gelateria, pharmacy, bakery, party_store, barber_shop, toy_store, noodle_house, grocery_store : 58552
Saved path: craft_shop, dentist, bookstore, grocery_store, noodle_house, salon, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank : 67256
Saved path: bank, music_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, gym, hardware_store, party_store, bike_shop, bakery, pharmacy, gelateria : 57165
Saved path: pet_store, florist, gelateria, music_store, pharmacy, jewelry_store, hardware_store, gym, burger_joint, salon, clothing_store, grocery_store, dentist, pizzeria, craft_shop : 62036
Saved path: craft_shop, bank, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist : 60186
Saved path: pharmacy, florist, craft_shop, dentist, tech_shop, grocery_store, clothing_store, salon, toy_store, burger_joint, gym, hardware_store, bike_shop, jewelry_store, party_store : 55386
Saved path: noodle_house, clothing_store, grocery_store, toy_store, hardware_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, music_store, pharmacy, bike_shop, barber_shop : 55288
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, craft_shop, pet_store : 64082
Saved path: bank, gelateria, florist, pet_store, pizzeria, dentist, tech_shop, cafe, burger_joint, gym, barber_shop, jewelry_store, bakery, pharmacy, music_store : 69567
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, tech_shop, clothing_store, cafe, bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, bakery : 58478
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, party_store, jewelry_store, music_store, bank, pet_store, craft_shop, dentist, cafe, bookstore : 65751
Saved path: music_store, gelateria, pharmacy, party_store, bakery, gym, toy_store, noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, pet_store, florist : 54165
Saved path: party_store, jewelry_store, bike_shop, hardware_store, burger_joint, noodle_house, clothing_store, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy : 63162
Saved path: barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore, cafe, pizzeria, pet_store, florist, pharmacy, bakery, bike_shop, jewelry_store : 61862
Saved path: craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, toy_store, party_store, jewelry_store, bike_shop, pharmacy, gelateria, bank, music_store, florist : 62288
Saved path: bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, party_store : 57038
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store : 64525
Saved path: bakery, pharmacy, hardware_store, burger_joint, bookstore, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, bike_shop : 50790
Saved path: burger_joint, bookstore, dentist, pizzeria, tech_shop, noodle_house, salon, toy_store, gym, pet_store, gelateria, pharmacy, bakery, party_store, bike_shop : 59563
Saved path: cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, gym, bike_shop, bakery, pharmacy, bank, florist, pizzeria, dentist : 58784
Saved path: music_store, bank, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, toy_store, burger_joint, gym, hardware_store, party_store, pharmacy : 58946
Saved path: craft_shop, florist, gelateria, bank, pharmacy, bakery, party_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, hardware_store, gym : 62394
