Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, bike_shop, bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore : 61298
Saved path: craft_shop, dentist, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store : 58934
Saved path: pet_store, florist, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, dentist, pizzeria : 57547
Saved path: music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, bike_shop, party_store, bakery, pharmacy : 48479
Saved path: cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, gelateria, florist, pet_store, gym, bookstore : 56812
Saved path: gym, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store : 65789
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy : 66907
Saved path: toy_store, noodle_house, clothing_store, bookstore, burger_joint, hardware_store, gym, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy, barber_shop : 61470
Saved path: jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, music_store, bank, pet_store, gym, bike_shop : 67979
Saved path: gym, craft_shop, florist, music_store, bank, pharmacy, bakery, jewelry_store, salon, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint : 66482
Saved path: music_store, florist, pet_store, gym, burger_joint, clothing_store, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, gelateria, bank : 65277
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, pharmacy, bike_shop, jewelry_store, barber_shop, hardware_store, burger_joint : 61690
Saved path: hardware_store, bakery, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, bank, music_store, florist : 60996
Saved path: gym, bank, pet_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store : 70332
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, gym, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop : 57940
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, music_store, gelateria, florist, pizzeria, tech_shop, clothing_store, noodle_house, cafe, bookstore : 57106
Saved path: toy_store, salon, barber_shop, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, tech_shop, clothing_store : 59048
Saved path: bike_shop, jewelry_store, hardware_store, salon, toy_store, clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, music_store, bank, pharmacy, bakery : 62702
Saved path: hardware_store, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store, bank, music_store : 72671
Saved path: grocery_store, tech_shop, cafe, hardware_store, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store : 63766
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym, bookstore, cafe, grocery_store, tech_shop : 58336
Saved path: bank, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, jewelry_store : 66305
Saved path: gelateria, florist, pizzeria, tech_shop, cafe, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, party_store, bike_shop, gym, pet_store, bank : 63859
Saved path: tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, bike_shop, party_store, bakery, barber_shop, toy_store, grocery_store : 54800
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, gelateria, bank, music_store, florist : 53702
Saved path: pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank, florist, pet_store, gym, burger_joint : 71259
Saved path: salon, barber_shop, party_store, jewelry_store, music_store, bank, gelateria, florist, pet_store, gym, hardware_store, burger_joint, dentist, grocery_store, toy_store : 70698
Saved path: jewelry_store, bike_shop, bakery, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop : 66291
Saved path: gym, hardware_store, bike_shop, party_store, bakery, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, clothing_store, toy_store, burger_joint : 53901
Saved path: noodle_house, burger_joint, tech_shop, dentist, craft_shop, pet_store, gelateria, music_store, florist, gym, hardware_store, bike_shop, jewelry_store, barber_shop, salon : 64070
Saved path: bank, pharmacy, hardware_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, pet_store, florist, gelateria : 63420
Saved path: salon, barber_shop, jewelry_store, pharmacy, bank, craft_shop, gym, hardware_store, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store : 69032
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, barber_shop, bakery, jewelry_store, music_store, bank, gelateria, florist, pizzeria, dentist : 66779
Saved path: hardware_store, gym, craft_shop, pet_store, gelateria, music_store, bike_shop, party_store, bakery, barber_shop, clothing_store, grocery_store, dentist, cafe, bookstore : 58907
Saved path: bank, pet_store, craft_shop, pizzeria, grocery_store, bookstore, burger_joint, toy_store, salon, hardware_store, gym, bike_shop, party_store, bakery, gelateria : 66893
Saved path: hardware_store, salon, toy_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, bike_shop, gym : 57926
Saved path: craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, toy_store, salon, noodle_house, grocery_store, cafe, gym : 48120
Saved path: burger_joint, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store : 66735
