Saved path: tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, florist, gelateria, music_store, bike_shop, jewelry_store, bakery, barber_shop, salon, noodle_house : 61291
Saved path: noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, cafe, bookstore, gym, toy_store : 71442
Saved path: craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, bike_shop, bakery, gelateria : 50918
Saved path: hardware_store, gym, burger_joint, cafe, grocery_store, clothing_store, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, party_store : 63171
Saved path: gym, toy_store, clothing_store, grocery_store, tech_shop, dentist, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, hardware_store : 60096
Saved path: bank, party_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria : 67631
Saved path: pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, pizzeria, craft_shop, pet_store, bank, gelateria : 63863
Saved path: gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, music_store, barber_shop, salon, toy_store, clothing_store, grocery_store, pizzeria, craft_shop : 68732
Saved path: gelateria, florist, pet_store, craft_shop, hardware_store, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy : 53001
Saved path: salon, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop : 56295
Saved path: pizzeria, dentist, cafe, grocery_store, noodle_house, bookstore, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop : 60190
Saved path: burger_joint, toy_store, salon, noodle_house, clothing_store, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, bike_shop, gym : 62675
Saved path: burger_joint, tech_shop, grocery_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, dentist : 69000
Saved path: cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, gelateria, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store : 62115
Saved path: music_store, gelateria, florist, pet_store, craft_shop, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 57690
Saved path: craft_shop, gym, hardware_store, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, music_store, florist : 42073
Saved path: clothing_store, tech_shop, bookstore, burger_joint, gym, pet_store, florist, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store : 63305
Saved path: grocery_store, tech_shop, cafe, burger_joint, hardware_store, craft_shop, florist, bank, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house : 54605
Saved path: florist, gelateria, music_store, jewelry_store, bike_shop, bakery, barber_shop, toy_store, hardware_store, burger_joint, cafe, tech_shop, grocery_store, dentist, pizzeria : 60961
Saved path: barber_shop, toy_store, noodle_house, grocery_store, cafe, tech_shop, pizzeria, craft_shop, gym, florist, gelateria, bank, pharmacy, bakery, jewelry_store : 65063
Saved path: pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, noodle_house, grocery_store, dentist, pizzeria, pet_store, florist, music_store : 65338
Saved path: bookstore, burger_joint, hardware_store, gym, toy_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy, gelateria, craft_shop, pizzeria, tech_shop, grocery_store : 52469
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym, cafe : 62549
Saved path: pizzeria, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, craft_shop : 55843
Saved path: cafe, clothing_store, noodle_house, salon, hardware_store, party_store, bike_shop, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist : 56363
Saved path: craft_shop, pet_store, florist, music_store, bakery, party_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, grocery_store, dentist : 59181
Saved path: noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store : 52143
Saved path: pharmacy, gelateria, music_store, florist, pet_store, gym, bookstore, pizzeria, tech_shop, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store : 67053
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, dentist, pet_store, florist, music_store, pharmacy, party_store, bakery, barber_shop, salon, toy_store, noodle_house : 55141
Saved path: pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist : 50735
Saved path: salon, toy_store, gym, hardware_store, bike_shop, party_store, pharmacy, bank, music_store, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house : 62978
