Saved path: dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, tech_shop : 56561
Saved path: bakery, pharmacy, bank, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, bookstore, burger_joint, gym, hardware_store, party_store, jewelry_store : 66204
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, pharmacy, bank, florist, pet_store, dentist, cafe, bookstore, clothing_store, noodle_house : 71958
Saved path: gym, burger_joint, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, bike_shop, music_store, bank, pet_store, pizzeria : 67811
Saved path: cafe, dentist, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, toy_store, grocery_store, tech_shop, bookstore : 66558
Saved path: gym, florist, music_store, bank, pet_store, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, bookstore, burger_joint, party_store, jewelry_store, bike_shop : 68885
Saved path: florist, music_store, pharmacy, bakery, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, pet_store : 48021
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, salon, hardware_store : 63609
Saved path: florist, gym, bike_shop, party_store, hardware_store, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, bank, gelateria : 65394
Saved path: salon, grocery_store, tech_shop, cafe, burger_joint, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store : 63434
Saved path: hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, gym, bank, music_store, pharmacy, bakery, bike_shop, party_store : 56748
Saved path: clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, cafe : 68638
Saved path: music_store, florist, craft_shop, bookstore, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, bank : 59359
Saved path: gym, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist, pizzeria : 72115
Saved path: bookstore, gym, party_store, jewelry_store, gelateria, florist, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint : 61903
Saved path: party_store, bike_shop, barber_shop, salon, hardware_store, gym, toy_store, grocery_store, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 68636
Saved path: party_store, bike_shop, music_store, florist, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, hardware_store, bakery : 54353
Saved path: tech_shop, pizzeria, craft_shop, bank, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, burger_joint, cafe : 63964
