Saved path: bike_shop, gym, toy_store, salon, grocery_store, tech_shop, cafe, dentist, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store : 60992
Saved path: pizzeria, craft_shop, florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, bookstore, cafe, tech_shop : 55151
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, bookstore : 61119
Saved path: tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, florist, hardware_store, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store : 71257
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, party_store, barber_shop : 60070
Saved path: salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, florist, gym, bookstore, pizzeria, tech_shop, grocery_store, clothing_store : 66706
Saved path: tech_shop, burger_joint, toy_store, salon, barber_shop, jewelry_store, hardware_store, gym, craft_shop, florist, gelateria, bank, pet_store, bookstore, cafe : 66255
Saved path: bakery, party_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, florist, gelateria, music_store : 50090
Saved path: clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, pet_store, florist, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house : 54104
Saved path: bike_shop, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, music_store, jewelry_store : 56898
Saved path: gym, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, toy_store, salon, hardware_store : 58337
Saved path: gym, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, tech_shop, cafe, burger_joint : 61480
Saved path: bike_shop, bakery, gym, pet_store, bank, music_store, florist, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, barber_shop : 61546
Saved path: jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, grocery_store, dentist, pizzeria, bank, gelateria, pharmacy, bakery, bike_shop : 69605
Saved path: jewelry_store, bike_shop, bakery, bank, pet_store, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store : 70148
Saved path: burger_joint, bookstore, gym, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store : 65848
Saved path: bank, gelateria, party_store, bike_shop, gym, toy_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store : 61443
Saved path: toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store : 68807
Saved path: salon, noodle_house, bookstore, cafe, tech_shop, pizzeria, pet_store, florist, gelateria, jewelry_store, bike_shop, bakery, hardware_store, gym, toy_store : 61885
Saved path: hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, gym, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint : 53240
Saved path: burger_joint, bookstore, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, pet_store, gelateria, pharmacy, party_store, bike_shop, hardware_store, gym : 52247
Saved path: pharmacy, gelateria, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, jewelry_store, bakery : 51440
Saved path: barber_shop, salon, toy_store, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, jewelry_store : 65678
Saved path: bank, music_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, bike_shop, jewelry_store, bakery, gelateria : 63923
Saved path: party_store, bike_shop, gym, burger_joint, toy_store, salon, noodle_house, grocery_store, cafe, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy : 64663
Saved path: bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, gelateria, hardware_store, burger_joint : 58545
Saved path: bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, gym, burger_joint, dentist, tech_shop, grocery_store, clothing_store, salon, hardware_store : 55815
Saved path: gelateria, florist, pet_store, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, bike_shop : 58440
Saved path: dentist, pizzeria, tech_shop, clothing_store, toy_store, salon, hardware_store, party_store, bike_shop, gelateria, bank, pet_store, gym, burger_joint, cafe : 66805
Saved path: barber_shop, salon, clothing_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, florist, gelateria, bank, pharmacy, bakery, party_store, jewelry_store : 64117
Saved path: party_store, jewelry_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, burger_joint, gym, florist, gelateria, bank, music_store, bakery : 59266
Saved path: pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, hardware_store, barber_shop, bike_shop, party_store, bakery : 54683
Saved path: hardware_store, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, clothing_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, gym : 57558
Saved path: gelateria, craft_shop, dentist, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bank : 68330
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store : 56200
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, bike_shop, party_store, pharmacy, florist, pet_store : 51328
Saved path: bank, florist, gym, hardware_store, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 64678
Saved path: gym, hardware_store, burger_joint, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, florist, craft_shop : 62100
Saved path: toy_store, hardware_store, gym, bookstore, grocery_store, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon : 66942
Saved path: tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, bike_shop, bakery, hardware_store, gym, toy_store, clothing_store : 46437
Saved path: gelateria, bank, pet_store, craft_shop, pizzeria, dentist, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, salon, barber_shop, bakery, pharmacy : 59612
Saved path: hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist, cafe, clothing_store, noodle_house, barber_shop : 59728
Saved path: salon, barber_shop, bike_shop, bakery, gelateria, bank, gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store, toy_store : 61483
Saved path: cafe, bookstore, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bakery, party_store, gelateria, florist, pet_store, pizzeria, tech_shop : 58482
Saved path: gelateria, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, gym, craft_shop, pet_store, florist, music_store, bank : 53304
Saved path: music_store, florist, pet_store, gym, craft_shop, pizzeria, tech_shop, burger_joint, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank : 70691
Saved path: pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, clothing_store, bookstore, burger_joint, gym, craft_shop, pet_store, florist, music_store, bank : 63803
Saved path: dentist, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, bookstore : 68458
Saved path: bank, music_store, florist, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, salon, hardware_store, jewelry_store, bakery, pharmacy, gelateria : 62689
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, gym, pet_store : 58235
Saved path: bank, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, music_store : 68530
