Saved path: florist, craft_shop, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, gym, party_store, jewelry_store, gelateria : 55246
Saved path: gelateria, pharmacy, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, pizzeria, dentist, burger_joint, gym, craft_shop, pet_store, bank : 66122
Saved path: pizzeria, cafe, bookstore, noodle_house, toy_store, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, florist, pet_store, craft_shop : 58072
Saved path: music_store, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, pizzeria, dentist, burger_joint, gym, craft_shop, gelateria, bank : 64096
Saved path: bike_shop, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, craft_shop, pet_store, florist, music_store, gelateria, pharmacy : 56092
Saved path: cafe, bookstore, burger_joint, gym, craft_shop, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, dentist : 53293
Saved path: gym, burger_joint, bookstore, cafe, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store : 56953
Saved path: tech_shop, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, florist, pharmacy, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store : 47579
Saved path: noodle_house, clothing_store, grocery_store, dentist, bookstore, hardware_store, gym, florist, gelateria, music_store, bike_shop, party_store, jewelry_store, barber_shop, toy_store : 61929
Saved path: dentist, tech_shop, grocery_store, cafe, bookstore, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, pizzeria : 59463
Saved path: dentist, grocery_store, toy_store, hardware_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop : 67042
Saved path: grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, pharmacy, bank, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist : 69374
Saved path: grocery_store, cafe, bookstore, burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pizzeria, dentist : 67948
