Saved path: dentist, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore : 56163
Saved path: bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, craft_shop, pet_store, gelateria : 53102
Saved path: craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, gelateria, bank, florist : 64071
Saved path: music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, jewelry_store, bakery, pharmacy : 66790
Saved path: barber_shop, bank, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, hardware_store, party_store, jewelry_store, bike_shop : 69012
Saved path: grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, hardware_store, gym, florist, music_store, bank, pet_store, craft_shop, dentist, burger_joint, bookstore : 64498
Saved path: bookstore, tech_shop, dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, burger_joint : 67180
Saved path: music_store, bank, gelateria, pharmacy, bakery, party_store, hardware_store, salon, toy_store, grocery_store, bookstore, dentist, craft_shop, pet_store, florist : 62081
Saved path: craft_shop, florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym : 55284
Saved path: gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, party_store, jewelry_store, pharmacy, bank : 61561
Saved path: florist, music_store, bank, gelateria, pet_store, craft_shop, dentist, cafe, bookstore, toy_store, salon, hardware_store, bike_shop, bakery, gym : 60048
Saved path: jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, music_store, bank, bike_shop, party_store : 62147
Saved path: burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, hardware_store : 59509
Saved path: florist, gelateria, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore, hardware_store, gym, craft_shop : 62340
Saved path: pharmacy, gelateria, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, gym, party_store, jewelry_store : 56535
Saved path: pharmacy, music_store, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, toy_store, barber_shop, jewelry_store, bakery : 61485
Saved path: bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, burger_joint, bookstore, dentist, pizzeria, pet_store, florist, gelateria, pharmacy : 56786
Saved path: dentist, burger_joint, hardware_store, gym, craft_shop, gelateria, bank, music_store, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store : 66081
Saved path: bakery, party_store, jewelry_store, bike_shop, gelateria, florist, pet_store, craft_shop, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store : 54281
Saved path: gelateria, pharmacy, bakery, hardware_store, burger_joint, noodle_house, clothing_store, tech_shop, cafe, bookstore, craft_shop, pet_store, florist, music_store, bank : 48137
Saved path: craft_shop, gym, hardware_store, burger_joint, dentist, pizzeria, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, music_store, florist : 61852
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, noodle_house, toy_store, hardware_store, bakery, bike_shop, jewelry_store, gelateria, bank, florist : 63398
