Saved path: party_store, bike_shop, gym, bookstore, cafe, burger_joint, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, bank : 61231
Saved path: bakery, bank, florist, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store : 64864
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, pharmacy, music_store, bank : 61593
Saved path: gelateria, florist, gym, hardware_store, party_store, bakery, barber_shop, toy_store, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, bank : 63269
Saved path: salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, florist, gym, hardware_store, cafe, tech_shop, clothing_store, toy_store : 59068
Saved path: bookstore, cafe, dentist, craft_shop, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, burger_joint : 57556
Saved path: bank, gelateria, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, pet_store : 67409
Saved path: gelateria, pharmacy, bakery, bike_shop, barber_shop, hardware_store, burger_joint, noodle_house, grocery_store, dentist, craft_shop, pet_store, florist, music_store, bank : 60014
Saved path: bike_shop, jewelry_store, party_store, bakery, bank, music_store, florist, pet_store, gym, burger_joint, cafe, tech_shop, clothing_store, salon, hardware_store : 65024
Saved path: music_store, florist, craft_shop, gym, burger_joint, bookstore, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store : 60197
Saved path: gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, pharmacy, bank, craft_shop : 65231
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, hardware_store, florist, bank, pet_store, dentist : 69311
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, dentist, cafe, bookstore, grocery_store, noodle_house, toy_store, barber_shop, bike_shop : 57206
Saved path: party_store, jewelry_store, salon, noodle_house, grocery_store, cafe, burger_joint, gym, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bike_shop : 63705
Saved path: bookstore, burger_joint, gym, hardware_store, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house : 50734
Saved path: jewelry_store, party_store, bike_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, toy_store, salon : 65693
Saved path: gelateria, pharmacy, party_store, bakery, barber_shop, noodle_house, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, florist, music_store, bank : 60462
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, burger_joint, gym, hardware_store, bike_shop, bakery, pharmacy, bank : 57098
Saved path: hardware_store, party_store, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, pizzeria, cafe, noodle_house, burger_joint, gym : 62789
Saved path: pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, gelateria : 60914
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, gelateria, florist, craft_shop : 57825
Saved path: hardware_store, jewelry_store, pharmacy, bank, gelateria, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, noodle_house, salon, toy_store, gym : 66687
Saved path: party_store, bike_shop, barber_shop, salon, hardware_store, gym, cafe, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy : 57785
Saved path: bookstore, dentist, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, hardware_store, bakery, party_store, jewelry_store, barber_shop, noodle_house, grocery_store : 67953
Saved path: gym, hardware_store, party_store, bike_shop, bakery, barber_shop, noodle_house, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank : 65284
Saved path: music_store, pharmacy, bakery, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, gym, florist, gelateria, bank : 51508
Saved path: gelateria, music_store, florist, craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, party_store, bakery : 50249
Saved path: tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon : 65110
Saved path: party_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, grocery_store, bookstore, burger_joint, toy_store, salon, hardware_store, gym, bike_shop : 65647
Saved path: craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, burger_joint, gym : 62350
Saved path: pet_store, florist, music_store, jewelry_store, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria : 61540
Saved path: burger_joint, bookstore, cafe, pizzeria, music_store, bank, gelateria, jewelry_store, party_store, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store : 69178
Saved path: toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, florist, pet_store, gym, bookstore, grocery_store, clothing_store, noodle_house : 53141
Saved path: noodle_house, clothing_store, tech_shop, bookstore, pet_store, gelateria, music_store, florist, craft_shop, gym, hardware_store, jewelry_store, barber_shop, salon, toy_store : 60013
Saved path: salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, florist, dentist, tech_shop, grocery_store, burger_joint, hardware_store, toy_store, noodle_house : 64792
