Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, hardware_store, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop : 63698
Saved path: dentist, pizzeria, craft_shop, florist, gym, hardware_store, party_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store, bookstore, burger_joint, cafe : 56799
Saved path: party_store, bike_shop, barber_shop, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy : 68257
Saved path: grocery_store, bookstore, cafe, dentist, pizzeria, gym, pet_store, bank, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store : 63413
Saved path: pharmacy, bank, gelateria, florist, pizzeria, dentist, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store : 66984
Saved path: salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store : 57989
Saved path: noodle_house, salon, hardware_store, bakery, party_store, bike_shop, gym, pet_store, bank, music_store, florist, pizzeria, cafe, burger_joint, toy_store : 66700
Saved path: party_store, barber_shop, toy_store, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, pet_store, gym : 66805
Saved path: gelateria, craft_shop, gym, bookstore, cafe, tech_shop, clothing_store, noodle_house, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 58028
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bakery, pharmacy, gelateria, bank, music_store, pizzeria, cafe, burger_joint : 54141
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, gelateria, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store : 61897
Saved path: cafe, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, party_store, bakery, pharmacy, gelateria, music_store, pizzeria, dentist : 51987
Saved path: noodle_house, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, florist, hardware_store, party_store, barber_shop, salon : 67706
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, burger_joint, bakery, party_store, jewelry_store, pharmacy, bank : 63699
Saved path: bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, salon, toy_store, hardware_store, bike_shop, pharmacy : 56790
Saved path: bakery, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, bookstore, cafe, pizzeria, gym, florist, music_store, bank, gelateria, pharmacy : 67018
Saved path: salon, toy_store, gym, hardware_store, bakery, jewelry_store, gelateria, bank, music_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house : 62988
Saved path: party_store, jewelry_store, bike_shop, barber_shop, hardware_store, toy_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, bank, pharmacy, bakery : 68865
Saved path: cafe, tech_shop, noodle_house, toy_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, music_store, gym, hardware_store, burger_joint, bookstore : 60745
Saved path: noodle_house, grocery_store, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, bike_shop, hardware_store, gym, bookstore, burger_joint, toy_store, salon : 60083
Saved path: tech_shop, clothing_store, noodle_house, barber_shop, hardware_store, bike_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, pet_store, dentist, cafe : 68680
Saved path: dentist, bookstore, clothing_store, toy_store, gym, hardware_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, craft_shop, pizzeria : 67109
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, bank, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, noodle_house : 64353
