Saved path: bakery, pharmacy, gelateria, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, bookstore, burger_joint, gym, hardware_store, jewelry_store : 56831
Saved path: jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, noodle_house, clothing_store, cafe, dentist, craft_shop, florist, bank, music_store, pharmacy : 61091
Saved path: clothing_store, dentist, burger_joint, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house : 56119
Saved path: bakery, party_store, jewelry_store, bike_shop, gym, burger_joint, salon, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, music_store, bank, pharmacy : 66654
Saved path: cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery, gym, pet_store, bank, gelateria, florist, pizzeria, dentist : 59236
Saved path: bakery, pharmacy, gelateria, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, tech_shop, toy_store, barber_shop, jewelry_store, party_store : 55541
Saved path: tech_shop, cafe, hardware_store, pet_store, florist, gelateria, bank, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store : 68225
Saved path: hardware_store, gym, craft_shop, florist, bank, gelateria, pharmacy, bakery, barber_shop, toy_store, clothing_store, tech_shop, dentist, bookstore, burger_joint : 56155
Saved path: bakery, barber_shop, toy_store, hardware_store, gym, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, jewelry_store : 70708
Saved path: barber_shop, salon, toy_store, clothing_store, cafe, tech_shop, pizzeria, gym, pet_store, gelateria, bank, music_store, pharmacy, party_store, bike_shop : 67388
Saved path: cafe, bookstore, gym, pet_store, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store : 64655
Saved path: bakery, bike_shop, barber_shop, salon, toy_store, hardware_store, gym, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store : 59940
Saved path: craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, florist, pet_store : 49549
Saved path: florist, gelateria, pet_store, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, cafe, bookstore : 58246
Saved path: pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore : 55400
Saved path: noodle_house, toy_store, burger_joint, tech_shop, dentist, pizzeria, craft_shop, pet_store, gym, hardware_store, jewelry_store, party_store, bakery, barber_shop, salon : 57835
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, music_store, bank, gelateria, barber_shop, party_store, hardware_store, burger_joint, toy_store : 62371
Saved path: craft_shop, florist, gelateria, pharmacy, bakery, jewelry_store, bike_shop, gym, burger_joint, toy_store, salon, clothing_store, grocery_store, dentist, pizzeria : 56634
Saved path: pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, gelateria, florist, pet_store : 56004
Saved path: clothing_store, toy_store, salon, hardware_store, jewelry_store, party_store, bakery, gelateria, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop : 62091
Saved path: gelateria, jewelry_store, party_store, bakery, toy_store, clothing_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank : 64431
Saved path: bakery, bike_shop, jewelry_store, music_store, bank, florist, pet_store, pizzeria, dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store : 67867
Saved path: pizzeria, dentist, cafe, burger_joint, hardware_store, gym, florist, music_store, gelateria, pharmacy, bakery, bike_shop, barber_shop, noodle_house, clothing_store : 52453
Saved path: pharmacy, music_store, florist, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store : 58967
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, gym, hardware_store, salon : 59915
Saved path: pet_store, pizzeria, dentist, burger_joint, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria : 68784
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, noodle_house, grocery_store, tech_shop, cafe, burger_joint, gym, florist, gelateria, bank, music_store : 56869
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, craft_shop, pet_store, music_store, bike_shop, jewelry_store, hardware_store, burger_joint : 56169
Saved path: pet_store, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, tech_shop, pizzeria : 61666
