Saved path: cafe, clothing_store, tech_shop, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, burger_joint, bookstore : 62400
Saved path: gelateria, pharmacy, party_store, bike_shop, bakery, toy_store, clothing_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store, florist, music_store, bank : 56403
Saved path: party_store, jewelry_store, gelateria, bank, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, hardware_store : 63726
Saved path: hardware_store, bike_shop, bakery, pharmacy, bank, music_store, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, burger_joint : 55000
Saved path: bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, cafe, bookstore, burger_joint, gym, pet_store : 63045
Saved path: pharmacy, florist, pet_store, craft_shop, dentist, bookstore, burger_joint, hardware_store, gym, toy_store, noodle_house, salon, barber_shop, bike_shop, party_store : 58343
Saved path: bookstore, burger_joint, hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, craft_shop, dentist, tech_shop, clothing_store : 60358
Saved path: music_store, gelateria, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, florist : 63322
Saved path: bank, gelateria, jewelry_store, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, hardware_store, gym, pet_store, florist : 67016
Saved path: gym, hardware_store, bike_shop, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, pet_store : 54529
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, hardware_store, gym, craft_shop, florist, gelateria, bakery, bike_shop, jewelry_store : 54075
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store, gelateria, music_store, pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop : 66268
Saved path: pharmacy, bike_shop, party_store, jewelry_store, salon, hardware_store, gym, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, bank : 67870
Saved path: party_store, jewelry_store, gelateria, craft_shop, dentist, bookstore, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery : 56110
Saved path: salon, grocery_store, tech_shop, dentist, cafe, hardware_store, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop : 67744
Saved path: hardware_store, salon, noodle_house, grocery_store, burger_joint, cafe, dentist, pizzeria, pet_store, florist, bank, gelateria, pharmacy, bike_shop, party_store : 65367
Saved path: craft_shop, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, music_store, bank, florist : 61359
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, pet_store, dentist, cafe : 54352
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, gelateria : 60233
Saved path: gelateria, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, bank : 68448
Saved path: grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, gym, bookstore, dentist : 61927
Saved path: bakery, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, party_store : 57997
Saved path: pharmacy, gelateria, pet_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, jewelry_store, party_store, bakery : 60027
Saved path: pharmacy, party_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, bank : 58046
Saved path: gym, pet_store, bank, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop : 71856
Saved path: burger_joint, gym, craft_shop, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, bookstore : 57989
Saved path: burger_joint, hardware_store, gym, pizzeria, music_store, bank, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, cafe, bookstore : 70407
Saved path: burger_joint, gym, craft_shop, bank, pharmacy, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore : 67780
Saved path: grocery_store, noodle_house, salon, barber_shop, bakery, pharmacy, bank, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist : 55312
Saved path: florist, bank, gelateria, party_store, barber_shop, salon, noodle_house, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop : 65228
Saved path: grocery_store, bookstore, dentist, craft_shop, pet_store, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, hardware_store, toy_store, noodle_house, clothing_store : 65479
Saved path: gym, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, gelateria, music_store, florist : 51107
Saved path: barber_shop, salon, burger_joint, bookstore, tech_shop, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store : 68669
Saved path: pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, noodle_house, toy_store, bike_shop, bakery, pharmacy, bank, music_store, florist : 57249
