Saved path: music_store, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, bakery, party_store, jewelry_store, bike_shop : 61740
Saved path: gelateria, bank, music_store, florist, pizzeria, tech_shop, clothing_store, cafe, bookstore, burger_joint, toy_store, hardware_store, bike_shop, jewelry_store, bakery : 61277
Saved path: barber_shop, salon, noodle_house, tech_shop, toy_store, hardware_store, gym, craft_shop, florist, gelateria, bank, music_store, bakery, party_store, bike_shop : 60879
Saved path: music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore, clothing_store, salon, hardware_store, bike_shop, party_store, pharmacy, gelateria, bank : 61273
Saved path: bike_shop, bakery, pharmacy, gelateria, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, toy_store, salon, jewelry_store, party_store : 58721
Saved path: bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, dentist, cafe, burger_joint, gym, bank, gelateria, pharmacy, bakery, jewelry_store : 66835
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pet_store, florist, music_store, bike_shop, party_store, bakery, toy_store, salon : 55681
Saved path: bank, music_store, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, pet_store, florist : 66055
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, music_store, bank, gelateria, jewelry_store, bike_shop, bakery : 63650
Saved path: clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, gelateria, pet_store, gym, bookstore, dentist, tech_shop, grocery_store : 60107
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, gym, gelateria, bank : 69398
Saved path: bookstore, gym, craft_shop, pet_store, florist, music_store, bike_shop, jewelry_store, bakery, barber_shop, toy_store, grocery_store, tech_shop, pizzeria, dentist : 64773
Saved path: noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, bank, music_store, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, toy_store : 67761
Saved path: tech_shop, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, bike_shop, party_store, music_store, bank, gelateria, florist, craft_shop, dentist : 62754
Saved path: gelateria, florist, pizzeria, cafe, bookstore, burger_joint, hardware_store, toy_store, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy : 56272
Saved path: cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, music_store, bakery, jewelry_store, hardware_store, toy_store, burger_joint, bookstore : 60815
