Saved path: pharmacy, bank, music_store, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, bike_shop, jewelry_store : 68728
Saved path: bank, gelateria, pet_store, gym, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, salon, hardware_store, bike_shop, pharmacy, music_store : 58823
Saved path: toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, florist, bank, party_store, bike_shop, hardware_store, salon : 65640
Saved path: cafe, bookstore, tech_shop, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, florist, dentist : 62886
Saved path: burger_joint, dentist, craft_shop, florist, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, clothing_store, tech_shop, bookstore : 65295
Saved path: cafe, bookstore, burger_joint, noodle_house, toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, florist, dentist : 60631
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gelateria, bank, pharmacy, bakery : 60854
Saved path: barber_shop, salon, noodle_house, burger_joint, dentist, pizzeria, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop : 64642
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store : 59916
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, gym, florist, bank : 62737
Saved path: party_store, jewelry_store, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, bakery : 55182
Saved path: tech_shop, dentist, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bike_shop, barber_shop, salon, toy_store, noodle_house : 62873
Saved path: hardware_store, salon, noodle_house, clothing_store, burger_joint, cafe, dentist, craft_shop, pet_store, florist, music_store, gelateria, bakery, party_store, jewelry_store : 57683
Saved path: salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, florist, gym, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, toy_store : 58277
Saved path: clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, bank, craft_shop, gym, burger_joint, bookstore, cafe, dentist, grocery_store : 65552
Saved path: gelateria, music_store, florist, pet_store, pizzeria, dentist, bookstore, grocery_store, noodle_house, salon, toy_store, gym, hardware_store, bakery, jewelry_store : 63780
Saved path: craft_shop, pizzeria, dentist, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, hardware_store, gym, florist : 55213
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, craft_shop, gym, cafe : 60650
Saved path: pizzeria, dentist, bookstore, hardware_store, gym, pet_store, florist, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop : 64357
Saved path: cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, florist, gym, bookstore : 50785
Saved path: hardware_store, salon, toy_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, gym : 71660
Saved path: noodle_house, tech_shop, cafe, burger_joint, hardware_store, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon : 66017
Saved path: pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, hardware_store, jewelry_store, party_store, bakery, gelateria, pet_store, craft_shop : 58317
