Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, gelateria, bank, barber_shop : 69879
Saved path: toy_store, hardware_store, gym, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, bank, music_store, pharmacy, party_store, bike_shop, barber_shop : 67283
Saved path: craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store, salon, barber_shop, pharmacy, music_store, bank, pet_store : 58959
Saved path: music_store, bakery, bike_shop, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, gelateria : 52906
Saved path: burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym, hardware_store : 51029
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bakery, bike_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, tech_shop : 52142
Saved path: pet_store, craft_shop, dentist, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist : 65519
Saved path: dentist, bookstore, gym, pet_store, bank, music_store, bike_shop, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria : 73745
Saved path: bank, pharmacy, party_store, jewelry_store, bike_shop, gym, burger_joint, bookstore, toy_store, salon, clothing_store, tech_shop, pizzeria, craft_shop, music_store : 69670
Saved path: gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, bike_shop, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store : 49902
Saved path: dentist, pizzeria, pet_store, gelateria, bank, music_store, gym, hardware_store, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop : 69323
Saved path: pizzeria, dentist, cafe, burger_joint, hardware_store, gym, florist, music_store, bank, gelateria, pharmacy, jewelry_store, barber_shop, noodle_house, grocery_store : 66871
Saved path: toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, party_store, bakery : 61568
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 54623
Saved path: gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop, clothing_store, toy_store, barber_shop, bakery, pharmacy : 50442
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, pet_store, florist, music_store, gelateria, jewelry_store, party_store, bakery : 61424
Saved path: toy_store, salon, barber_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, hardware_store, burger_joint, bookstore, grocery_store, clothing_store : 61077
Saved path: gym, toy_store, salon, noodle_house, burger_joint, bookstore, cafe, pizzeria, music_store, bank, pharmacy, bakery, party_store, bike_shop, hardware_store : 65073
Saved path: gelateria, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop : 62680
Saved path: dentist, grocery_store, clothing_store, salon, barber_shop, bakery, party_store, pharmacy, gelateria, bank, music_store, florist, gym, burger_joint, bookstore : 60957
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, bookstore, burger_joint, noodle_house : 69152
