Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, gym, bike_shop, jewelry_store, salon, noodle_house : 63198
Saved path: hardware_store, party_store, bike_shop, gelateria, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store : 54200
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, dentist, craft_shop, gym, hardware_store, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop : 62128
Saved path: toy_store, salon, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, dentist, bookstore, burger_joint, tech_shop, clothing_store : 56069
Saved path: burger_joint, cafe, tech_shop, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop : 65180
Saved path: toy_store, burger_joint, bookstore, cafe, clothing_store, tech_shop, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, barber_shop : 62400
Saved path: bike_shop, party_store, bakery, toy_store, clothing_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 56403
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, bank, gelateria, jewelry_store, party_store, hardware_store, burger_joint, bookstore : 63726
Saved path: burger_joint, hardware_store, bike_shop, bakery, pharmacy, bank, music_store, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store : 55000
Saved path: barber_shop, salon, clothing_store, cafe, bookstore, burger_joint, gym, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop : 63045
Saved path: noodle_house, toy_store, hardware_store, gym, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, pharmacy, party_store, bike_shop, barber_shop, salon : 58343
Saved path: hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, craft_shop, dentist, tech_shop, clothing_store, bookstore, burger_joint : 60358
Saved path: bookstore, cafe, dentist, pizzeria, florist, gelateria, music_store, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, hardware_store, burger_joint : 63322
Saved path: pet_store, gym, hardware_store, cafe, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, jewelry_store, gelateria, bank, florist : 67016
Saved path: dentist, pizzeria, pet_store, gym, hardware_store, bike_shop, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, cafe : 54529
Saved path: craft_shop, gym, hardware_store, bookstore, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, jewelry_store, bike_shop, gelateria, florist : 54075
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store, gelateria, music_store, pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop : 66268
Saved path: cafe, tech_shop, pizzeria, craft_shop, florist, bank, pharmacy, bike_shop, party_store, jewelry_store, salon, hardware_store, gym, burger_joint, bookstore : 67870
Saved path: gelateria, craft_shop, dentist, bookstore, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery : 56110
Saved path: pharmacy, music_store, bank, gelateria, pet_store, gym, hardware_store, cafe, dentist, tech_shop, grocery_store, salon, barber_shop, jewelry_store, bakery : 67744
Saved path: dentist, pizzeria, pet_store, florist, gelateria, bank, pharmacy, party_store, bike_shop, hardware_store, salon, noodle_house, grocery_store, burger_joint, cafe : 65367
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bike_shop, music_store, bank, florist, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, pizzeria : 61359
Saved path: toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, pet_store, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon : 54352
Saved path: tech_shop, noodle_house, toy_store, salon, barber_shop, party_store, bike_shop, gelateria, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria : 60233
Saved path: clothing_store, toy_store, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, gelateria, bank, pet_store, craft_shop, dentist, tech_shop, grocery_store : 68448
Saved path: jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, dentist, bookstore, gym, craft_shop, pet_store, florist, gelateria, pharmacy, party_store : 61927
Saved path: hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, party_store : 57997
Saved path: party_store, bakery, pharmacy, gelateria, pet_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, jewelry_store : 60027
Saved path: barber_shop, party_store, pharmacy, bank, gelateria, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, toy_store : 58046
