Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, hardware_store, gym, florist, gelateria, bank, pet_store, dentist, burger_joint : 68994
Saved path: barber_shop, salon, toy_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop, pet_store, gelateria, pharmacy, bakery, party_store, bike_shop : 54024
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, party_store : 59127
Saved path: pet_store, florist, gelateria, music_store, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, dentist, burger_joint, hardware_store, gym : 59669
Saved path: florist, pet_store, bookstore, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, gelateria, bank, music_store : 66975
Saved path: dentist, cafe, bookstore, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, craft_shop : 60652
Saved path: hardware_store, bike_shop, bakery, music_store, bank, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store : 56732
Saved path: bookstore, cafe, tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bank, pet_store, craft_shop, gym, hardware_store, burger_joint : 65277
Saved path: tech_shop, cafe, grocery_store, clothing_store, toy_store, burger_joint, gym, bike_shop, jewelry_store, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria : 61072
Saved path: bike_shop, jewelry_store, party_store, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, cafe, tech_shop, pizzeria, florist, gelateria, music_store : 62710
Saved path: dentist, pizzeria, craft_shop, gelateria, bank, bakery, jewelry_store, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, cafe, tech_shop : 67874
Saved path: bakery, bike_shop, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, florist, bank, gelateria, pharmacy : 51320
Saved path: bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, salon, toy_store, burger_joint, gym, hardware_store, party_store, bakery, music_store : 64245
Saved path: gelateria, bank, pharmacy, bakery, bike_shop, jewelry_store, party_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, dentist, pet_store, florist : 62532
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, gym, hardware_store, salon, noodle_house : 58827
Saved path: music_store, craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, pharmacy, bank : 60019
Saved path: bike_shop, party_store, bakery, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, gym, barber_shop : 67059
Saved path: bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, burger_joint, hardware_store, pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store : 57260
Saved path: dentist, craft_shop, pet_store, bank, florist, gym, hardware_store, bike_shop, jewelry_store, barber_shop, clothing_store, grocery_store, bookstore, burger_joint, cafe : 69498
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, bookstore, cafe, hardware_store, gym, craft_shop, pet_store, bank, music_store : 64688
Saved path: bike_shop, party_store, pharmacy, gelateria, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop : 51359
Saved path: barber_shop, salon, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, pet_store, gelateria, pharmacy, bakery, party_store, bike_shop : 57993
Saved path: gym, hardware_store, bookstore, dentist, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, bakery, pharmacy, bank, pet_store, craft_shop : 63954
Saved path: music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, hardware_store, gym, florist : 50674
Saved path: florist, pet_store, craft_shop, pizzeria, grocery_store, salon, toy_store, burger_joint, gym, jewelry_store, party_store, bakery, pharmacy, music_store, bank : 69521
Saved path: hardware_store, gym, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, bookstore : 48573
Saved path: florist, pharmacy, jewelry_store, barber_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop : 58162
Saved path: gelateria, bike_shop, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, craft_shop, florist, bank : 66009
Saved path: pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe : 50875
Saved path: party_store, bakery, barber_shop, salon, clothing_store, grocery_store, cafe, bookstore, hardware_store, gym, craft_shop, florist, music_store, gelateria, pharmacy : 49906
Saved path: pharmacy, gelateria, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, party_store, bakery : 54965
Saved path: cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, dentist : 52215
Saved path: florist, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, hardware_store, bookstore, cafe, grocery_store, tech_shop, pizzeria, pet_store : 54567
Saved path: pizzeria, dentist, bookstore, gym, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop : 60160
Saved path: music_store, pharmacy, bakery, bike_shop, hardware_store, burger_joint, toy_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank : 53887
Saved path: florist, pet_store, craft_shop, gym, hardware_store, bookstore, cafe, clothing_store, noodle_house, barber_shop, jewelry_store, pharmacy, gelateria, bank, music_store : 63456
Saved path: party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, hardware_store, gym, craft_shop, pet_store, music_store, pharmacy, bakery : 56714
