Saved path: party_store, jewelry_store, bike_shop, gym, burger_joint, toy_store, noodle_house, tech_shop, dentist, craft_shop, pet_store, florist, music_store, pharmacy, bakery : 56859
Saved path: bookstore, burger_joint, hardware_store, gym, music_store, bank, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, dentist : 70316
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, gelateria, music_store, bike_shop : 60593
Saved path: dentist, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, salon, barber_shop, bike_shop, pharmacy, music_store, pet_store, craft_shop, pizzeria : 56615
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bakery, pharmacy, gelateria, bank, florist, craft_shop, gym, hardware_store, bookstore, cafe, tech_shop : 50445
Saved path: bakery, bike_shop, jewelry_store, hardware_store, gym, pet_store, bank, music_store, florist, craft_shop, pizzeria, cafe, clothing_store, noodle_house, barber_shop : 68315
Saved path: gym, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, grocery_store, dentist, bookstore, burger_joint, hardware_store : 68604
Saved path: gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, salon, barber_shop, pharmacy, gelateria, music_store, florist : 50541
Saved path: pizzeria, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, bakery, music_store, gym, hardware_store, burger_joint, cafe, dentist : 62261
Saved path: dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, burger_joint, cafe : 56041
Saved path: pet_store, gelateria, bank, music_store, bakery, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, pizzeria : 60066
Saved path: gelateria, bank, pharmacy, party_store, bike_shop, gym, toy_store, clothing_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store, florist : 63498
Saved path: gym, craft_shop, florist, bank, music_store, pharmacy, bakery, jewelry_store, hardware_store, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store : 54738
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, gelateria, bike_shop, bakery, hardware_store, toy_store, burger_joint, bookstore, cafe : 55464
Saved path: craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, clothing_store, tech_shop, bookstore, dentist : 55389
Saved path: hardware_store, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop : 59208
Saved path: grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint, dentist : 67196
Saved path: pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, bookstore, cafe, burger_joint, hardware_store, jewelry_store, party_store, bakery, bank : 63200
Saved path: dentist, craft_shop, pet_store, bank, gelateria, florist, gym, bakery, party_store, bike_shop, salon, toy_store, clothing_store, grocery_store, cafe : 63333
Saved path: party_store, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, florist, dentist, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store : 58824
Saved path: bakery, pharmacy, bank, music_store, dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store : 66536
Saved path: pet_store, bank, florist, gym, hardware_store, party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria : 70337
Saved path: noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, gym, bookstore : 65715
Saved path: burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store : 59711
Saved path: barber_shop, salon, toy_store, clothing_store, burger_joint, dentist, pizzeria, craft_shop, gym, pet_store, florist, gelateria, bank, music_store, pharmacy : 60200
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, barber_shop, bike_shop, pharmacy, gelateria, bank : 60447
