Saved path: noodle_house, toy_store, barber_shop, jewelry_store, gelateria, music_store, florist, pet_store, gym, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, clothing_store : 64299
Saved path: bank, gelateria, pharmacy, jewelry_store, hardware_store, salon, noodle_house, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, pet_store, florist : 69609
Saved path: bakery, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, gelateria, bank, music_store, gym, hardware_store : 58367
Saved path: pharmacy, music_store, bank, gelateria, florist, craft_shop, pizzeria, dentist, clothing_store, toy_store, salon, hardware_store, gym, party_store, bakery : 61301
Saved path: gelateria, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, cafe, bookstore, gym, bike_shop, party_store, bakery : 58393
Saved path: clothing_store, toy_store, salon, barber_shop, bakery, bike_shop, jewelry_store, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria : 62713
Saved path: clothing_store, grocery_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, bike_shop, party_store, bakery, hardware_store, salon : 63020
Saved path: barber_shop, salon, noodle_house, bookstore, dentist, pizzeria, craft_shop, gym, pet_store, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop : 71552
Saved path: jewelry_store, party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, gelateria, music_store : 63729
Saved path: craft_shop, pizzeria, tech_shop, cafe, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, gym : 61842
Saved path: toy_store, clothing_store, grocery_store, pizzeria, pet_store, bank, music_store, florist, bookstore, cafe, burger_joint, hardware_store, party_store, jewelry_store, barber_shop : 71481
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, bike_shop, bakery, pharmacy, music_store, gelateria, pet_store : 47206
Saved path: cafe, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, music_store, pharmacy, bakery, barber_shop, hardware_store, burger_joint, bookstore : 48589
Saved path: grocery_store, clothing_store, salon, barber_shop, bakery, pharmacy, gelateria, music_store, florist, craft_shop, gym, hardware_store, burger_joint, dentist, tech_shop : 47827
Saved path: salon, jewelry_store, bakery, gym, florist, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, toy_store, noodle_house : 68657
Saved path: burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, bike_shop, bakery, pharmacy, bank, florist, pizzeria, dentist : 58566
Saved path: pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, music_store : 60449
Saved path: barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, cafe, tech_shop, dentist, pet_store, gelateria, bank, music_store, bakery, bike_shop : 60794
Saved path: florist, pet_store, pizzeria, cafe, grocery_store, noodle_house, salon, hardware_store, gym, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store : 69100
Saved path: pizzeria, tech_shop, grocery_store, cafe, bookstore, hardware_store, toy_store, noodle_house, salon, barber_shop, bakery, jewelry_store, gelateria, florist, craft_shop : 57742
Saved path: gym, hardware_store, salon, toy_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, florist, bank, bakery, party_store, jewelry_store, bike_shop : 70058
