Saved path: salon, bike_shop, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house : 56735
Saved path: party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, clothing_store, tech_shop, cafe, bookstore, hardware_store, bakery : 58550
Saved path: bakery, bike_shop, party_store, hardware_store, salon, noodle_house, clothing_store, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store : 59546
Saved path: clothing_store, noodle_house, toy_store, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint : 50949
Saved path: craft_shop, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym : 57268
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, cafe, pizzeria, florist, bank, gelateria : 62239
Saved path: toy_store, hardware_store, bakery, party_store, jewelry_store, bike_shop, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon : 58482
Saved path: tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery, gelateria, music_store, florist, pet_store, gym, burger_joint, cafe : 56687
Saved path: bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, dentist, pizzeria, florist, bank, gelateria, pharmacy : 58422
Saved path: gym, bike_shop, party_store, bakery, barber_shop, noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria, florist, music_store, bank, pet_store : 68993
Saved path: noodle_house, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, florist, bank, gelateria, jewelry_store, party_store, bike_shop, barber_shop, toy_store : 69227
Saved path: music_store, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, pharmacy : 47441
Saved path: salon, hardware_store, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, gym, bookstore, dentist, pizzeria, tech_shop, clothing_store : 61036
Saved path: bike_shop, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, bookstore, hardware_store, gym, craft_shop, florist, bank, music_store, pharmacy, bakery : 61654
Saved path: gym, hardware_store, salon, barber_shop, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, tech_shop, clothing_store, cafe, bookstore, burger_joint : 57994
Saved path: noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, gym, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 58806
Saved path: gym, toy_store, noodle_house, clothing_store, bookstore, pizzeria, pet_store, florist, bank, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store : 68555
Saved path: bike_shop, bakery, barber_shop, toy_store, hardware_store, gym, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, music_store : 57397
Saved path: cafe, burger_joint, bookstore, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery, bank, florist, pet_store, craft_shop, pizzeria, tech_shop : 70007
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house, grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, florist, bank : 64944
Saved path: hardware_store, salon, toy_store, clothing_store, grocery_store, cafe, burger_joint, dentist, pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 56547
Saved path: bakery, party_store, jewelry_store, gym, bookstore, cafe, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy : 56667
Saved path: craft_shop, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, gym : 59426
Saved path: noodle_house, grocery_store, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store, barber_shop, salon : 59032
Saved path: pizzeria, tech_shop, noodle_house, barber_shop, jewelry_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, gym, bookstore, cafe, dentist : 63971
Saved path: jewelry_store, bakery, hardware_store, florist, bank, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 70222
Saved path: burger_joint, hardware_store, gym, pet_store, florist, gelateria, jewelry_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, dentist, cafe : 59894
Saved path: pizzeria, dentist, cafe, tech_shop, toy_store, salon, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop : 65505
Saved path: noodle_house, salon, hardware_store, jewelry_store, bike_shop, pharmacy, bank, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store : 70339
Saved path: dentist, clothing_store, barber_shop, bike_shop, party_store, bakery, music_store, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe : 65522
Saved path: tech_shop, cafe, dentist, pet_store, gelateria, music_store, bakery, party_store, bike_shop, hardware_store, gym, burger_joint, bookstore, noodle_house, grocery_store : 54890
