Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop, florist, music_store, bakery, bike_shop, barber_shop : 51639
Saved path: pharmacy, music_store, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, jewelry_store, party_store : 63952
Saved path: jewelry_store, bakery, hardware_store, gym, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 67836
Saved path: gelateria, pizzeria, dentist, burger_joint, gym, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, pharmacy, music_store, bank : 69779
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, gym, pet_store, florist, music_store, pharmacy, bakery, jewelry_store : 58251
Saved path: toy_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, bank, bakery, bike_shop, jewelry_store, salon : 67577
Saved path: pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, gym, gelateria, bank, pet_store, craft_shop : 56597
Saved path: jewelry_store, bakery, pharmacy, florist, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop : 55287
Saved path: hardware_store, burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bakery, music_store, bank, gym : 68030
Saved path: florist, gelateria, bank, music_store, party_store, barber_shop, salon, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, pet_store : 66755
Saved path: dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria : 60249
Saved path: grocery_store, toy_store, gym, hardware_store, party_store, bakery, pharmacy, bank, florist, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop : 59290
Saved path: clothing_store, grocery_store, tech_shop, dentist, hardware_store, gym, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house : 59776
Saved path: hardware_store, gym, pet_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery : 52455
Saved path: burger_joint, hardware_store, gelateria, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe : 60833
Saved path: craft_shop, burger_joint, tech_shop, grocery_store, toy_store, salon, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, bank, music_store, florist : 62086
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, salon, hardware_store : 62929
Saved path: party_store, pharmacy, bank, gelateria, florist, pet_store, craft_shop, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 59031
Saved path: toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, florist, gelateria, bank, pharmacy, bakery, jewelry_store, gym, hardware_store, salon : 64692
Saved path: bookstore, burger_joint, gym, hardware_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, craft_shop, pizzeria, dentist, grocery_store : 57913
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist, music_store, bank, gelateria, party_store, hardware_store, toy_store, salon, noodle_house : 58587
Saved path: dentist, tech_shop, bookstore, burger_joint, hardware_store, salon, barber_shop, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop : 65060
Saved path: salon, toy_store, clothing_store, grocery_store, tech_shop, gym, craft_shop, florist, gelateria, bank, music_store, bakery, party_store, jewelry_store, hardware_store : 60123
Saved path: burger_joint, bookstore, tech_shop, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, toy_store, noodle_house : 61048
Saved path: grocery_store, toy_store, barber_shop, bakery, party_store, pharmacy, music_store, bank, florist, craft_shop, gym, hardware_store, bookstore, dentist, tech_shop : 63814
Saved path: burger_joint, dentist, craft_shop, pet_store, gelateria, pharmacy, hardware_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore : 48043
Saved path: craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, party_store, bakery, gelateria, music_store, florist, pet_store : 56526
Saved path: toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, pet_store, craft_shop, dentist, cafe, hardware_store : 68055
Saved path: florist, bank, music_store, jewelry_store, bike_shop, bakery, barber_shop, toy_store, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, dentist : 67848
Saved path: party_store, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, bank, bakery, jewelry_store : 69967
Saved path: grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, dentist, cafe, burger_joint, bookstore : 64567
Saved path: gelateria, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, burger_joint, hardware_store, salon, barber_shop, bakery, pharmacy, music_store, bank : 57943
Saved path: gym, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, barber_shop, toy_store, clothing_store, tech_shop, bookstore, burger_joint, hardware_store : 50970
Saved path: florist, pet_store, craft_shop, gym, bookstore, cafe, tech_shop, grocery_store, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank : 66555
Saved path: pharmacy, bakery, gym, toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, music_store, bank : 59116
Saved path: hardware_store, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, florist, pet_store : 64134
Saved path: clothing_store, noodle_house, burger_joint, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, music_store, florist, pet_store, bookstore, cafe, tech_shop : 53917
Saved path: burger_joint, bookstore, dentist, pizzeria, grocery_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, music_store, gelateria, florist, gym, hardware_store : 62805
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, hardware_store, gym, craft_shop, florist, music_store, bank : 62447
Saved path: toy_store, salon, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, florist, music_store, pharmacy, bakery, bike_shop, gym : 50907
Saved path: bakery, bike_shop, party_store, hardware_store, gym, burger_joint, toy_store, noodle_house, grocery_store, cafe, pizzeria, pet_store, florist, gelateria, pharmacy : 53787
Saved path: bakery, bike_shop, gym, burger_joint, noodle_house, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy : 57845
Saved path: barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, florist, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, noodle_house, toy_store, salon : 62033
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, bookstore : 62431
