Saved path: gym, hardware_store, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, gelateria : 61046
Saved path: hardware_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, pizzeria, tech_shop, clothing_store, cafe, bookstore, burger_joint, toy_store, salon : 62468
Saved path: music_store, florist, pizzeria, dentist, tech_shop, grocery_store, toy_store, barber_shop, bakery, jewelry_store, hardware_store, gym, pet_store, gelateria, bank : 69931
Saved path: pet_store, florist, music_store, pharmacy, bike_shop, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop : 53940
Saved path: bank, music_store, jewelry_store, bike_shop, bakery, hardware_store, toy_store, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist, craft_shop, pet_store : 61770
Saved path: pet_store, bank, gelateria, bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint, hardware_store, gym : 63096
Saved path: cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, hardware_store, gym, craft_shop, pet_store, bank, florist, bookstore : 66105
Saved path: noodle_house, clothing_store, grocery_store, dentist, burger_joint, gym, craft_shop, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon : 53542
Saved path: toy_store, clothing_store, tech_shop, cafe, bookstore, hardware_store, gym, craft_shop, florist, gelateria, music_store, pharmacy, bakery, jewelry_store, barber_shop : 53617
Saved path: tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, dentist, bookstore : 66322
Saved path: dentist, bookstore, gym, craft_shop, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria : 69566
Saved path: party_store, jewelry_store, bike_shop, music_store, gelateria, pet_store, pizzeria, tech_shop, bookstore, noodle_house, salon, toy_store, gym, hardware_store, bakery : 64453
Saved path: florist, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, clothing_store, barber_shop, party_store, pharmacy, music_store, gelateria : 62323
Saved path: salon, clothing_store, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, pet_store, florist, bank, pharmacy, bike_shop, jewelry_store, barber_shop : 69841
Saved path: pharmacy, music_store, gelateria, pet_store, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, toy_store, barber_shop, bike_shop, bakery : 53182
Saved path: bank, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy : 64486
Saved path: craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop, clothing_store, salon, jewelry_store, party_store, bike_shop, bakery, bank, music_store, florist : 65803
Saved path: noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, music_store, bank, pharmacy, bike_shop, party_store, jewelry_store, salon : 68391
Saved path: pharmacy, party_store, hardware_store, salon, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, florist, gelateria, bank : 60032
Saved path: florist, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pharmacy, gelateria, bank, music_store : 50263
Saved path: dentist, cafe, bookstore, hardware_store, gym, pet_store, florist, bank, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, grocery_store, pizzeria : 72180
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, gym, music_store, bank, gelateria, pharmacy, bike_shop, burger_joint, bookstore, dentist, tech_shop : 58147
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, music_store, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, cafe : 53889
Saved path: music_store, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, toy_store, barber_shop, bakery, pharmacy : 50208
Saved path: bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pet_store, florist, bank, music_store, pharmacy, hardware_store, jewelry_store : 68753
Saved path: gym, florist, music_store, bank, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, burger_joint, bookstore, dentist, pizzeria, craft_shop : 70663
Saved path: burger_joint, bookstore, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, craft_shop, gym, hardware_store : 55894
Saved path: bookstore, burger_joint, noodle_house, salon, hardware_store, jewelry_store, bike_shop, bank, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe : 70746
Saved path: pet_store, gelateria, bank, music_store, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, cafe, gym, craft_shop : 60911
