Saved path: dentist, grocery_store, clothing_store, salon, barber_shop, bike_shop, gelateria, bank, music_store, florist, gym, hardware_store, burger_joint, bookstore, cafe : 58540
Saved path: noodle_house, toy_store, salon, barber_shop, party_store, hardware_store, gym, gelateria, bank, music_store, florist, craft_shop, dentist, cafe, tech_shop : 64183
Saved path: clothing_store, tech_shop, bookstore, dentist, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, barber_shop, salon, hardware_store, toy_store : 67620
Saved path: tech_shop, grocery_store, clothing_store, toy_store, hardware_store, party_store, bakery, pharmacy, bank, music_store, florist, pet_store, bookstore, burger_joint, cafe : 54753
Saved path: bakery, bike_shop, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, florist, gym, hardware_store : 53112
Saved path: craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, gym, pet_store : 52813
Saved path: party_store, bakery, gym, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, music_store, bank, pharmacy : 61014
Saved path: music_store, bakery, party_store, barber_shop, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, bank : 58735
Saved path: bakery, party_store, bike_shop, music_store, bank, florist, pet_store, gym, burger_joint, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store : 60566
Saved path: jewelry_store, party_store, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, bank, bakery, bike_shop : 68140
Saved path: pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, salon, bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop : 61251
Saved path: bakery, pharmacy, gelateria, bank, pizzeria, cafe, burger_joint, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, jewelry_store : 63472
Saved path: barber_shop, salon, grocery_store, clothing_store, toy_store, hardware_store, gym, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop : 64179
Saved path: grocery_store, tech_shop, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, salon, hardware_store, bookstore, clothing_store : 60830
