Saved path: florist, bank, music_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop : 64326
Saved path: party_store, bike_shop, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy : 54548
Saved path: craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, pharmacy, florist, pet_store : 56269
Saved path: bank, music_store, bike_shop, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, pet_store : 60537
Saved path: clothing_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop : 60302
Saved path: music_store, gelateria, florist, craft_shop, pizzeria, gym, hardware_store, bookstore, clothing_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy : 59683
Saved path: bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, gym, hardware_store : 67326
Saved path: bike_shop, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, salon, toy_store, burger_joint, gym : 60110
Saved path: gym, hardware_store, burger_joint, bookstore, tech_shop, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store : 67247
Saved path: music_store, pet_store, dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, barber_shop, bike_shop, party_store, bakery, pharmacy : 57975
Saved path: toy_store, gym, florist, music_store, pharmacy, jewelry_store, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon : 59336
Saved path: clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, noodle_house : 58175
Saved path: dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, music_store, bank, florist, pet_store : 62102
Saved path: gym, craft_shop, pet_store, florist, bank, music_store, pharmacy, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint : 55929
Saved path: toy_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, music_store, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop, noodle_house : 65227
Saved path: salon, toy_store, gym, hardware_store, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, bookstore, grocery_store, noodle_house : 68572
Saved path: barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, pharmacy, party_store, jewelry_store, bike_shop : 64896
Saved path: pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, jewelry_store, party_store, bank, florist : 65913
Saved path: gelateria, pet_store, dentist, tech_shop, noodle_house, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 64072
Saved path: pharmacy, gelateria, music_store, florist, pet_store, dentist, cafe, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, bike_shop, bakery : 49415
Saved path: music_store, gelateria, florist, bookstore, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, jewelry_store, bike_shop, bakery, pharmacy : 52199
Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, pharmacy : 49187
Saved path: noodle_house, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, florist, music_store, bank, bakery, party_store, barber_shop, salon : 64096
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store, florist, music_store, bank, party_store, barber_shop, salon, toy_store : 65846
Saved path: pizzeria, dentist, cafe, bookstore, gym, toy_store, noodle_house, salon, barber_shop, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop : 53006
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, music_store, gelateria, pet_store, pizzeria, dentist, grocery_store, bookstore, burger_joint, toy_store : 60975
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, gym, pet_store, florist, gelateria, bakery, party_store, jewelry_store, barber_shop, salon, toy_store : 55448
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, salon : 68095
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, jewelry_store, gym, hardware_store, salon : 64124
