Saved path: hardware_store, gym, pet_store, bank, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, bookstore, toy_store, barber_shop, bakery, party_store : 68450
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop, pet_store, florist, pharmacy, party_store, jewelry_store, barber_shop, toy_store : 61818
Saved path: bank, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, pet_store : 60837
Saved path: pharmacy, jewelry_store, barber_shop, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, pet_store, florist, gelateria, bank : 72181
Saved path: jewelry_store, party_store, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, craft_shop, florist, bank, pharmacy : 60609
Saved path: party_store, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, bank, music_store, florist, hardware_store : 69488
Saved path: cafe, dentist, pizzeria, gym, pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store : 69127
Saved path: salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, florist, bank, pharmacy, bike_shop, hardware_store : 59879
Saved path: cafe, bookstore, florist, music_store, bank, gelateria, pet_store, craft_shop, gym, hardware_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store : 65363
Saved path: grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, music_store, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house : 54303
Saved path: music_store, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, pharmacy : 51420
Saved path: bank, florist, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 65825
Saved path: party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, gym, craft_shop, florist, music_store, gelateria, bakery : 57138
Saved path: pet_store, craft_shop, gym, bookstore, cafe, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria : 63895
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, noodle_house : 53854
Saved path: toy_store, hardware_store, bookstore, cafe, tech_shop, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, barber_shop, salon, noodle_house : 59414
Saved path: hardware_store, gym, pet_store, bank, florist, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, salon, jewelry_store, party_store, bakery : 68292
Saved path: clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist, pet_store, pizzeria, dentist : 68544
Saved path: gym, craft_shop, pet_store, music_store, jewelry_store, party_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, bookstore, burger_joint, hardware_store : 64206
Saved path: bakery, party_store, bike_shop, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, gym, hardware_store : 55692
Saved path: tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, gelateria, florist, pet_store, craft_shop, gym, burger_joint, bookstore : 55013
Saved path: pizzeria, craft_shop, florist, bank, gelateria, bakery, barber_shop, salon, toy_store, gym, hardware_store, burger_joint, bookstore, grocery_store, dentist : 59988
Saved path: gelateria, florist, pet_store, pizzeria, gym, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank : 71587
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, pet_store, bank : 69620
Saved path: cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, gym, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist : 52613
Saved path: hardware_store, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, gelateria, music_store, party_store, bike_shop, barber_shop, toy_store, gym : 61073
Saved path: pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, florist : 58431
Saved path: noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, craft_shop, gelateria, bank, pharmacy, bakery, party_store, barber_shop, salon : 58364
Saved path: music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, cafe, grocery_store, pizzeria, florist, bank : 67329
Saved path: bike_shop, bakery, pharmacy, music_store, bank, pet_store, pizzeria, dentist, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, toy_store : 60538
Saved path: pet_store, bank, gelateria, florist, gym, bakery, jewelry_store, salon, toy_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria : 67501
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, salon, hardware_store, party_store, jewelry_store : 57888
Saved path: bakery, pharmacy, bank, craft_shop, gym, hardware_store, burger_joint, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 56750
Saved path: pizzeria, tech_shop, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, bike_shop, gelateria, bank, pet_store, gym, craft_shop : 63108
Saved path: pet_store, gym, hardware_store, burger_joint, bookstore, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy, gelateria, bank : 65600
Saved path: gym, craft_shop, pizzeria, cafe, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, music_store, bank, gelateria, pet_store : 71825
Saved path: gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, pharmacy, gelateria, florist, craft_shop : 54236
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store : 68627
Saved path: bank, pharmacy, bakery, party_store, hardware_store, gym, bookstore, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria : 61506
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, bookstore, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria : 62032
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, bank, music_store, bakery, hardware_store, salon, toy_store : 55525
Saved path: jewelry_store, party_store, gym, pet_store, bank, music_store, florist, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 69646
Saved path: tech_shop, dentist, cafe, burger_joint, gym, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, grocery_store : 58442
Saved path: music_store, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, salon, hardware_store, gym, bike_shop, party_store, jewelry_store, gelateria, bank : 64835
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, pharmacy, gelateria, bank, florist, craft_shop, pizzeria, bookstore, burger_joint, hardware_store, toy_store : 60082
Saved path: craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, bakery, bike_shop, party_store, pharmacy, bank, florist, pet_store : 57266
Saved path: tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, party_store, pharmacy, music_store, gelateria, florist, pet_store, pizzeria, dentist, bookstore, burger_joint : 60494
Saved path: music_store, pet_store, dentist, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop : 64570
Saved path: jewelry_store, party_store, gelateria, florist, pet_store, pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop : 65313
Saved path: dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, salon, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, florist, craft_shop : 61689
Saved path: noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, gym, pet_store, gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop, toy_store : 61126
Saved path: music_store, jewelry_store, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, cafe, dentist, craft_shop, pet_store, gelateria : 59915
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, bakery, bike_shop : 59768
Saved path: bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, gym, craft_shop, pet_store, florist, music_store, pharmacy : 53318
Saved path: craft_shop, pet_store, florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, bookstore, hardware_store, gym : 57066
Saved path: grocery_store, tech_shop, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore : 64877
Saved path: noodle_house, clothing_store, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, florist, gelateria, bike_shop, party_store, bakery, hardware_store, salon : 54028
Saved path: music_store, florist, pizzeria, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank : 65493
