Saved path: gym, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, gelateria, bank : 58082
Saved path: hardware_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, gym : 57446
Saved path: salon, toy_store, burger_joint, bookstore, grocery_store, dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, hardware_store : 63487
Saved path: music_store, florist, pizzeria, dentist, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank : 65980
Saved path: noodle_house, grocery_store, bookstore, cafe, dentist, craft_shop, pet_store, florist, bank, pharmacy, party_store, jewelry_store, gym, toy_store, salon : 68797
Saved path: clothing_store, cafe, burger_joint, bookstore, craft_shop, pet_store, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house : 57515
Saved path: bookstore, hardware_store, gym, pet_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, tech_shop, pizzeria, dentist : 71465
Saved path: gym, burger_joint, bookstore, grocery_store, noodle_house, salon, hardware_store, bike_shop, party_store, bakery, music_store, bank, florist, pet_store, craft_shop : 61461
Saved path: gym, music_store, bank, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, bookstore, burger_joint : 54506
Saved path: noodle_house, salon, toy_store, burger_joint, party_store, jewelry_store, bank, gelateria, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store : 65144
Saved path: gelateria, music_store, pharmacy, party_store, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pet_store : 56311
Saved path: burger_joint, gym, pet_store, florist, music_store, bank, pharmacy, jewelry_store, hardware_store, salon, toy_store, clothing_store, tech_shop, dentist, cafe : 67888
Saved path: burger_joint, cafe, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, pharmacy, music_store, gelateria, florist, craft_shop, gym, hardware_store : 48257
Saved path: dentist, pizzeria, florist, music_store, gelateria, pet_store, gym, hardware_store, bike_shop, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop : 63532
Saved path: salon, barber_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop : 59941
Saved path: florist, pet_store, bookstore, burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon, hardware_store, bakery, pharmacy, gelateria, bank, music_store : 51228
Saved path: grocery_store, cafe, bookstore, burger_joint, toy_store, gym, bike_shop, party_store, jewelry_store, music_store, bank, gelateria, pet_store, pizzeria, dentist : 67641
Saved path: salon, toy_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, bank, music_store, pharmacy, bakery, barber_shop : 59003
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, gym, craft_shop, pizzeria, cafe, clothing_store, noodle_house, salon : 63663
Saved path: clothing_store, toy_store, salon, jewelry_store, party_store, bakery, music_store, gelateria, florist, pet_store, craft_shop, dentist, burger_joint, tech_shop, grocery_store : 58651
Saved path: dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, gym, burger_joint, bookstore, cafe : 61413
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, bike_shop, pharmacy, music_store, gelateria, pet_store, craft_shop, dentist, bookstore, tech_shop : 52192
Saved path: hardware_store, bakery, bank, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym : 51268
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, gym, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop : 65972
Saved path: noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, bakery, hardware_store, burger_joint : 54942
Saved path: gelateria, bank, music_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, pet_store : 59558
