Saved path: pharmacy, music_store, gelateria, florist, pet_store, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, noodle_house, salon, barber_shop, party_store : 62415
Saved path: dentist, craft_shop, pet_store, bank, music_store, pharmacy, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, burger_joint, bookstore, tech_shop : 67905
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gym, pet_store, florist, music_store, gelateria, bike_shop : 49621
Saved path: clothing_store, noodle_house, toy_store, barber_shop, pharmacy, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop, grocery_store : 48584
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, bike_shop, bakery, music_store, bank, pet_store, pizzeria, tech_shop, cafe : 59804
Saved path: clothing_store, grocery_store, bookstore, burger_joint, tech_shop, pizzeria, craft_shop, florist, gym, hardware_store, bike_shop, bakery, barber_shop, salon, noodle_house : 48000
Saved path: dentist, craft_shop, florist, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint : 63173
Saved path: florist, music_store, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, burger_joint, gym, pet_store : 64856
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, hardware_store, gym, toy_store, salon, noodle_house : 49491
Saved path: noodle_house, clothing_store, burger_joint, bookstore, cafe, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, hardware_store, toy_store : 53562
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, florist, bank, pharmacy, bakery : 62632
Saved path: party_store, jewelry_store, hardware_store, pharmacy, florist, pet_store, pizzeria, dentist, bookstore, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery : 62471
Saved path: barber_shop, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, craft_shop, bookstore, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store : 41194
Saved path: grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, pet_store, gelateria, pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house : 59064
Saved path: salon, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, craft_shop, pizzeria, dentist, cafe : 69187
Saved path: salon, barber_shop, party_store, bike_shop, music_store, bank, gelateria, pet_store, pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, noodle_house : 68701
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, hardware_store, burger_joint, bookstore, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy : 72947
Saved path: pharmacy, bakery, barber_shop, toy_store, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, music_store : 51677
Saved path: bike_shop, hardware_store, gym, florist, gelateria, bank, pet_store, pizzeria, dentist, cafe, burger_joint, grocery_store, clothing_store, salon, barber_shop : 63177
Saved path: cafe, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, music_store, gym, burger_joint, bookstore : 57631
Saved path: florist, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, hardware_store, gym, pet_store, bank, gelateria : 69119
Saved path: gelateria, bank, music_store, pharmacy, bakery, jewelry_store, salon, noodle_house, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop : 62390
Saved path: clothing_store, grocery_store, tech_shop, dentist, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, gym, toy_store, salon, noodle_house : 51594
Saved path: hardware_store, pet_store, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint : 54098
Saved path: pizzeria, dentist, cafe, burger_joint, hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, music_store, gelateria, florist, pet_store, craft_shop : 63723
Saved path: bookstore, cafe, burger_joint, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house : 54719
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, florist, pharmacy, bakery, hardware_store : 47726
Saved path: bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bakery, party_store : 63110
