Saved path: toy_store, noodle_house, clothing_store, grocery_store, burger_joint, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, party_store, bike_shop, barber_shop : 62421
Saved path: noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, salon : 57390
Saved path: bakery, party_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, florist, music_store, bank : 65523
Saved path: bookstore, burger_joint, gym, pet_store, music_store, pharmacy, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe : 52439
Saved path: salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, bank, pharmacy, jewelry_store, bike_shop, barber_shop : 68823
Saved path: bakery, pharmacy, music_store, bank, gelateria, pet_store, dentist, tech_shop, clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, party_store : 62653
Saved path: craft_shop, pizzeria, tech_shop, burger_joint, hardware_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store : 70099
Saved path: clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, gym, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house : 66382
Saved path: gym, pet_store, florist, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, salon, clothing_store, tech_shop, dentist, cafe, hardware_store : 59028
Saved path: cafe, bookstore, grocery_store, noodle_house, salon, hardware_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, pizzeria : 61042
Saved path: clothing_store, toy_store, barber_shop, bakery, party_store, bike_shop, hardware_store, gym, music_store, bank, pet_store, craft_shop, dentist, cafe, grocery_store : 64476
Saved path: cafe, burger_joint, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store : 54860
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, salon, toy_store, gym, bakery, music_store, bank, gelateria, pet_store : 58505
Saved path: pharmacy, bike_shop, party_store, jewelry_store, salon, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, bank, gelateria : 67166
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon, clothing_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, gelateria : 64930
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, gelateria, pharmacy, bakery : 53528
Saved path: party_store, bakery, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank : 66373
Saved path: clothing_store, tech_shop, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, hardware_store, bookstore : 67688
Saved path: gym, hardware_store, burger_joint, dentist, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, pet_store : 70268
