Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, pharmacy, barber_shop, salon, toy_store, noodle_house : 41469
Saved path: bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, dentist, burger_joint, bookstore, clothing_store, toy_store, gym, hardware_store : 56558
Saved path: dentist, pizzeria, gym, pet_store, florist, pharmacy, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 61643
Saved path: salon, noodle_house, clothing_store, toy_store, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, craft_shop, bank, bakery, bike_shop, barber_shop : 62505
Saved path: cafe, burger_joint, gym, craft_shop, florist, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, tech_shop, dentist : 66036
Saved path: gym, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, noodle_house, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store : 71470
Saved path: gelateria, florist, pet_store, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop : 57211
Saved path: gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, party_store, music_store, florist, pet_store, craft_shop : 59383
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, gym, pet_store, bank, music_store, bakery, jewelry_store : 69121
Saved path: bank, music_store, gym, craft_shop, pizzeria, dentist, cafe, tech_shop, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria : 69810
Saved path: craft_shop, florist, gelateria, music_store, pharmacy, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist : 49102
Saved path: bookstore, burger_joint, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, clothing_store : 59867
Saved path: gelateria, music_store, florist, craft_shop, dentist, tech_shop, grocery_store, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, party_store, pharmacy : 50205
Saved path: bike_shop, jewelry_store, bakery, gelateria, bank, music_store, florist, gym, hardware_store, burger_joint, tech_shop, grocery_store, toy_store, salon, barber_shop : 62328
Saved path: cafe, dentist, craft_shop, pet_store, florist, gelateria, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 53576
Saved path: bakery, party_store, bike_shop, gym, pet_store, bank, music_store, florist, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, barber_shop : 64790
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, gym, bookstore, cafe, tech_shop, clothing_store, salon, hardware_store, jewelry_store, party_store, bakery : 55807
Saved path: dentist, pizzeria, clothing_store, toy_store, salon, barber_shop, pharmacy, gelateria, bank, music_store, florist, gym, burger_joint, bookstore, cafe : 56998
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store : 66392
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, pet_store, bank, gelateria, bike_shop, jewelry_store, bakery, barber_shop : 67633
Saved path: music_store, pharmacy, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, florist, bank : 64067
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, hardware_store, pharmacy, bank, florist, craft_shop, pizzeria, dentist, cafe : 64052
Saved path: barber_shop, bike_shop, bakery, pharmacy, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, toy_store, clothing_store, noodle_house : 52107
Saved path: gelateria, bank, music_store, florist, craft_shop, dentist, bookstore, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, party_store, pharmacy : 62498
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, florist, bank, pet_store, gym, hardware_store : 68332
Saved path: jewelry_store, bike_shop, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, dentist, craft_shop, gelateria, music_store, pharmacy, bakery : 52826
Saved path: pet_store, craft_shop, bookstore, burger_joint, cafe, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, pharmacy, music_store, bank, gelateria : 60857
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store : 54748
Saved path: barber_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, jewelry_store : 70178
Saved path: pizzeria, cafe, bookstore, burger_joint, toy_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store : 64590
Saved path: tech_shop, grocery_store, cafe, burger_joint, hardware_store, toy_store, barber_shop, bike_shop, party_store, bank, music_store, florist, craft_shop, pizzeria, dentist : 65604
Saved path: noodle_house, salon, hardware_store, gym, bike_shop, party_store, bakery, music_store, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint : 66840
Saved path: grocery_store, tech_shop, cafe, hardware_store, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house : 53656
Saved path: florist, pet_store, gym, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank : 66969
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, florist, bank : 66259
