Saved path: music_store, pharmacy, jewelry_store, hardware_store, salon, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, florist, gelateria : 60193
Saved path: jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, gym, burger_joint, dentist, tech_shop, grocery_store, toy_store, salon, barber_shop : 60637
Saved path: burger_joint, bookstore, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop : 62029
Saved path: salon, toy_store, burger_joint, gym, hardware_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, clothing_store, noodle_house : 57020
Saved path: florist, bank, gelateria, bakery, bike_shop, jewelry_store, hardware_store, salon, clothing_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, craft_shop : 66573
Saved path: pizzeria, pet_store, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, burger_joint, hardware_store, gym : 71929
Saved path: music_store, bakery, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, craft_shop, florist, bank : 60249
Saved path: bookstore, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, pharmacy, gelateria, florist, pet_store, dentist, cafe, burger_joint : 54276
Saved path: cafe, bookstore, burger_joint, hardware_store, bike_shop, party_store, bakery, pharmacy, bank, gelateria, pizzeria, dentist, clothing_store, grocery_store, tech_shop : 57647
Saved path: jewelry_store, hardware_store, gym, burger_joint, toy_store, noodle_house, grocery_store, dentist, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, party_store : 56583
Saved path: cafe, bookstore, grocery_store, noodle_house, salon, bike_shop, party_store, pharmacy, music_store, bank, gelateria, florist, craft_shop, pizzeria, dentist : 61399
Saved path: gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, gelateria, craft_shop : 60682
Saved path: party_store, bakery, barber_shop, salon, toy_store, gym, hardware_store, burger_joint, bookstore, pizzeria, pet_store, florist, bank, music_store, pharmacy : 69083
Saved path: bakery, barber_shop, salon, noodle_house, toy_store, hardware_store, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store : 64649
Saved path: hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, bike_shop, party_store : 62626
Saved path: bookstore, burger_joint, gym, pet_store, florist, bank, gelateria, pharmacy, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe : 56489
Saved path: bank, music_store, pharmacy, jewelry_store, gym, toy_store, salon, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, gelateria : 66013
Saved path: pizzeria, dentist, burger_joint, gym, pet_store, bank, gelateria, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, tech_shop : 69201
Saved path: hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, dentist, clothing_store, toy_store, gym : 63633
Saved path: hardware_store, party_store, jewelry_store, bike_shop, barber_shop, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint : 58949
Saved path: party_store, jewelry_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, bank, pharmacy, hardware_store : 67040
Saved path: gelateria, pet_store, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, bakery, pharmacy, music_store, bank : 55113
Saved path: bank, music_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, pet_store, florist, gelateria : 64480
Saved path: jewelry_store, pharmacy, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store : 53405
Saved path: pet_store, florist, jewelry_store, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop : 59224
Saved path: pet_store, florist, bank, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, pizzeria : 63844
Saved path: burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, bakery, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym : 56028
Saved path: toy_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store, bank, bakery, party_store, jewelry_store, barber_shop, salon : 62869
Saved path: hardware_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pet_store, gelateria, bank, music_store, florist : 58634
Saved path: grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house : 57351
