Saved path: jewelry_store, party_store, bakery, pharmacy, florist, pet_store, gym, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop : 56034
Saved path: bakery, party_store, bike_shop, salon, toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, craft_shop, florist, gelateria, bank, music_store : 61457
Saved path: bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, clothing_store, grocery_store, pizzeria, dentist, burger_joint, gym, craft_shop, pet_store : 66122
Saved path: gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, bookstore, dentist, pet_store, florist : 60021
Saved path: gym, hardware_store, bakery, bike_shop, gelateria, music_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store : 50244
Saved path: bank, music_store, florist, dentist, cafe, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, hardware_store, gym, pet_store : 68106
Saved path: noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, gym, florist, gelateria, music_store, jewelry_store, party_store, barber_shop, toy_store : 61684
Saved path: burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, music_store, gelateria, florist, pet_store, craft_shop, hardware_store : 49471
Saved path: bank, music_store, bakery, barber_shop, salon, clothing_store, grocery_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria : 61887
Saved path: cafe, dentist, pizzeria, grocery_store, toy_store, barber_shop, bike_shop, pharmacy, music_store, bank, florist, pet_store, gym, hardware_store, bookstore : 66486
Saved path: burger_joint, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, florist, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym : 50738
Saved path: party_store, bike_shop, pharmacy, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store : 56032
Saved path: bakery, bank, gelateria, gym, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store : 67284
Saved path: noodle_house, grocery_store, tech_shop, burger_joint, bookstore, dentist, florist, music_store, bank, gelateria, pharmacy, bike_shop, hardware_store, toy_store, salon : 56904
Saved path: cafe, grocery_store, tech_shop, pizzeria, craft_shop, music_store, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, gym : 69754
Saved path: pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, gelateria, pharmacy, jewelry_store, barber_shop, noodle_house, clothing_store : 63101
Saved path: toy_store, noodle_house, tech_shop, cafe, dentist, craft_shop, gym, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 61739
Saved path: florist, bank, music_store, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, pizzeria, craft_shop, pet_store : 72395
Saved path: bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, party_store, bike_shop, hardware_store : 50371
Saved path: pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, bank : 66101
Saved path: florist, music_store, gelateria, jewelry_store, bike_shop, burger_joint, toy_store, salon, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store : 62131
