Saved path: salon, toy_store, gym, bakery, party_store, jewelry_store, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, cafe, bookstore, grocery_store : 61485
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 60770
Saved path: jewelry_store, party_store, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, gym, toy_store, salon : 69864
Saved path: toy_store, salon, noodle_house, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, bakery, jewelry_store, hardware_store, gym : 65707
Saved path: hardware_store, cafe, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, gym : 67080
Saved path: florist, pet_store, pizzeria, dentist, cafe, tech_shop, clothing_store, salon, hardware_store, gym, jewelry_store, pharmacy, gelateria, bank, music_store : 69377
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, barber_shop, jewelry_store, party_store, bakery, hardware_store, burger_joint, cafe, bookstore : 63019
Saved path: music_store, bank, gelateria, florist, pet_store, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop : 69497
Saved path: bike_shop, barber_shop, salon, toy_store, hardware_store, gym, burger_joint, bookstore, cafe, dentist, gelateria, bank, pharmacy, bakery, party_store : 64513
Saved path: toy_store, salon, noodle_house, clothing_store, bookstore, burger_joint, pizzeria, craft_shop, music_store, bank, gelateria, jewelry_store, bike_shop, hardware_store, gym : 68847
Saved path: gym, party_store, jewelry_store, bike_shop, music_store, gelateria, florist, craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store : 54861
Saved path: party_store, bike_shop, gelateria, florist, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, salon, barber_shop : 59011
Saved path: pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, gelateria, bank, music_store, craft_shop : 62327
Saved path: bookstore, grocery_store, tech_shop, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, party_store, barber_shop, toy_store, gym, hardware_store, burger_joint : 65396
Saved path: toy_store, burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop, gym : 63448
Saved path: hardware_store, gym, toy_store, clothing_store, bookstore, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, bakery, barber_shop : 61452
Saved path: music_store, bank, gelateria, pet_store, craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, gym, jewelry_store, pharmacy : 62672
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, florist, gym, craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, toy_store, barber_shop : 66651
Saved path: gym, florist, bank, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, craft_shop : 66391
Saved path: craft_shop, pet_store, bank, music_store, florist, gym, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria : 64522
Saved path: bank, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, bookstore, pet_store, florist, music_store : 61907
Saved path: dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, bookstore : 62284
Saved path: gelateria, pet_store, craft_shop, gym, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bakery : 57494
Saved path: pizzeria, dentist, cafe, burger_joint, hardware_store, gym, toy_store, clothing_store, noodle_house, barber_shop, bakery, bike_shop, music_store, pet_store, craft_shop : 56551
Saved path: pet_store, florist, music_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, bookstore, cafe, pizzeria : 66895
Saved path: bakery, bike_shop, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, florist, music_store, pharmacy : 55348
Saved path: gym, pizzeria, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store : 67431
Saved path: bike_shop, party_store, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, clothing_store, toy_store, salon, barber_shop : 66991
Saved path: cafe, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, party_store, bakery, gelateria, florist, craft_shop, pizzeria, dentist : 53360
Saved path: pharmacy, gelateria, music_store, craft_shop, pizzeria, dentist, grocery_store, bookstore, burger_joint, gym, toy_store, barber_shop, jewelry_store, party_store, bakery : 61969
Saved path: tech_shop, cafe, burger_joint, gym, pet_store, bank, pharmacy, bakery, party_store, jewelry_store, hardware_store, toy_store, salon, noodle_house, clothing_store : 61671
Saved path: music_store, gelateria, florist, gym, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, toy_store, salon, barber_shop, bakery, pharmacy : 50305
Saved path: pizzeria, cafe, grocery_store, noodle_house, toy_store, burger_joint, gym, bakery, party_store, jewelry_store, pharmacy, gelateria, bank, music_store, florist : 61283
Saved path: craft_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, bakery, party_store, pharmacy, music_store, florist, pet_store : 47364
Saved path: craft_shop, pizzeria, dentist, burger_joint, bookstore, tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store, hardware_store, gym, florist, pet_store : 62645
Saved path: cafe, burger_joint, gym, pet_store, music_store, pharmacy, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 54966
Saved path: burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, florist, gym : 59188
Saved path: gym, craft_shop, pet_store, florist, bank, music_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint : 59191
Saved path: cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, bank, music_store, florist, craft_shop, gym, burger_joint, bookstore : 53081
Saved path: jewelry_store, bike_shop, bakery, bank, gelateria, florist, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, salon, hardware_store : 60793
Saved path: bakery, bike_shop, barber_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy : 52775
Saved path: craft_shop, bookstore, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, music_store, bank, gelateria, florist : 58549
Saved path: barber_shop, bakery, party_store, bike_shop, gelateria, bank, pet_store, craft_shop, pizzeria, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 64484
Saved path: clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, dentist, pizzeria, music_store, gelateria, pharmacy, bike_shop, barber_shop, toy_store, noodle_house : 51968
Saved path: gelateria, florist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, bakery, bike_shop, hardware_store, gym, pet_store, bank : 59582
Saved path: bank, music_store, bakery, party_store, jewelry_store, salon, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, florist, gelateria : 70793
Saved path: noodle_house, toy_store, salon, barber_shop, bike_shop, hardware_store, gym, music_store, bank, florist, craft_shop, pizzeria, cafe, bookstore, clothing_store : 62782
Saved path: pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, bank, music_store, florist, gym, craft_shop : 65898
Saved path: noodle_house, salon, barber_shop, jewelry_store, pharmacy, bank, music_store, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop : 67158
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, pet_store, bank, gelateria, pharmacy : 69618
Saved path: florist, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, burger_joint, noodle_house, barber_shop, bike_shop, party_store, bakery, gym : 67165
Saved path: florist, gelateria, music_store, pharmacy, bakery, bike_shop, party_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, dentist, pizzeria, craft_shop : 51481
Saved path: pizzeria, dentist, tech_shop, clothing_store, toy_store, burger_joint, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store : 59100
