Saved path: noodle_house, clothing_store, tech_shop, dentist, craft_shop, music_store, bank, gelateria, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, burger_joint, bookstore : 67404
Saved path: cafe, dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, jewelry_store, salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, bookstore : 55401
Saved path: bike_shop, jewelry_store, hardware_store, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, dentist, pizzeria, pet_store, bank, gelateria, pharmacy : 68210
Saved path: pizzeria, dentist, cafe, burger_joint, hardware_store, gym, toy_store, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, pet_store : 59962
Saved path: music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, bookstore, cafe, dentist, pizzeria, florist : 60228
Saved path: tech_shop, clothing_store, salon, hardware_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, bookstore : 60942
Saved path: cafe, bookstore, gym, florist, gelateria, bank, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, clothing_store : 60597
Saved path: florist, pet_store, gym, hardware_store, cafe, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, music_store, bank : 64286
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, toy_store, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist : 54099
Saved path: gelateria, bank, music_store, party_store, barber_shop, salon, toy_store, clothing_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, pet_store : 66177
Saved path: dentist, tech_shop, clothing_store, noodle_house, salon, bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore, cafe : 52387
Saved path: burger_joint, gym, pet_store, florist, music_store, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, dentist, cafe, bookstore : 63012
Saved path: dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym, tech_shop, grocery_store : 65485
Saved path: pizzeria, craft_shop, pet_store, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist : 52676
Saved path: dentist, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bakery, music_store, bank, gelateria, pet_store : 58783
Saved path: music_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, pharmacy, bank : 63515
Saved path: bank, florist, pet_store, craft_shop, gym, tech_shop, grocery_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy : 65184
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, cafe, burger_joint : 54365
Saved path: gym, pet_store, bank, music_store, florist, pizzeria, tech_shop, cafe, bookstore, grocery_store, salon, hardware_store, bakery, party_store, bike_shop : 67919
Saved path: pizzeria, florist, bank, pet_store, gym, hardware_store, bike_shop, party_store, jewelry_store, salon, noodle_house, toy_store, burger_joint, cafe, dentist : 71468
Saved path: burger_joint, bookstore, dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop : 67698
Saved path: pharmacy, gelateria, florist, pet_store, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, clothing_store, barber_shop, jewelry_store, bike_shop, bakery : 60732
Saved path: toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 60819
Saved path: hardware_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist, tech_shop, burger_joint, gym : 70651
Saved path: bookstore, burger_joint, hardware_store, gym, craft_shop, florist, bank, music_store, pharmacy, party_store, barber_shop, noodle_house, grocery_store, tech_shop, dentist : 63129
Saved path: cafe, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, music_store, bank, gelateria, pet_store, pizzeria, grocery_store : 69450
Saved path: grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, jewelry_store, pharmacy, gelateria, music_store, florist, pet_store, gym, toy_store, noodle_house : 52508
Saved path: pharmacy, bakery, jewelry_store, bike_shop, gym, burger_joint, toy_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria : 55922
Saved path: bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, hardware_store, bakery : 46095
Saved path: burger_joint, hardware_store, gym, pizzeria, pet_store, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, grocery_store, cafe : 62511
Saved path: bank, gelateria, florist, pet_store, craft_shop, gym, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery : 63489
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, pharmacy, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, toy_store, hardware_store : 53700
Saved path: dentist, craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint : 55130
Saved path: music_store, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, tech_shop, dentist, bookstore, hardware_store, gym, craft_shop, pet_store, bank : 67691
Saved path: bookstore, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint : 56337
Saved path: jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, bookstore, gym, pet_store, florist, gelateria, music_store, pharmacy, bakery : 64362
Saved path: tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, clothing_store : 50069
Saved path: pet_store, florist, pharmacy, bakery, party_store, bike_shop, hardware_store, gym, burger_joint, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop : 51156
Saved path: noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, craft_shop, gym, hardware_store, bookstore, cafe, dentist : 66269
Saved path: hardware_store, salon, barber_shop, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, bookstore, burger_joint : 52076
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, gelateria : 58458
