Saved path: jewelry_store, party_store, bakery, hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, gelateria : 59610
Saved path: pet_store, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, music_store : 53377
Saved path: florist, gym, bookstore, dentist, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank : 66098
Saved path: pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, bank, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 72252
Saved path: cafe, burger_joint, grocery_store, clothing_store, toy_store, salon, barber_shop, party_store, gym, pet_store, bank, music_store, florist, craft_shop, pizzeria : 66518
Saved path: bike_shop, hardware_store, salon, noodle_house, grocery_store, bookstore, burger_joint, gym, pizzeria, pet_store, florist, gelateria, music_store, pharmacy, jewelry_store : 64843
Saved path: music_store, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bank : 70278
Saved path: bike_shop, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store : 52891
Saved path: florist, craft_shop, gym, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, toy_store, bakery, pharmacy, gelateria, bank, music_store : 49734
Saved path: dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, bike_shop, hardware_store, gym, gelateria, bank, pet_store, craft_shop : 59899
Saved path: bookstore, burger_joint, cafe, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop : 60536
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, cafe, craft_shop, florist, gelateria, bank, pharmacy : 59416
Saved path: bike_shop, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, salon : 58738
Saved path: music_store, gelateria, pet_store, gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, bakery, party_store, pharmacy : 58825
Saved path: dentist, cafe, bookstore, gym, pet_store, gelateria, bank, music_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop : 60593
Saved path: party_store, jewelry_store, pharmacy, music_store, bank, pet_store, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, burger_joint, gym, hardware_store : 62153
Saved path: pizzeria, dentist, bookstore, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, hardware_store, gym, florist, gelateria, bank, pet_store : 70090
Saved path: gym, burger_joint, bookstore, cafe, clothing_store, tech_shop, pizzeria, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store : 57544
Saved path: craft_shop, pet_store, florist, gelateria, bike_shop, party_store, hardware_store, burger_joint, cafe, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria : 51849
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, party_store, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store : 70137
Saved path: gelateria, bank, music_store, craft_shop, gym, hardware_store, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, jewelry_store : 62446
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, dentist, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store : 55566
Saved path: craft_shop, pet_store, bank, music_store, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria : 67374
Saved path: grocery_store, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon : 62554
Saved path: salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, grocery_store, cafe, bookstore, burger_joint, hardware_store : 62208
Saved path: tech_shop, cafe, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, gym, craft_shop, pizzeria : 68426
Saved path: bakery, bike_shop, party_store, hardware_store, toy_store, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, gelateria, bank, music_store, barber_shop : 64249
Saved path: noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, music_store, bike_shop, jewelry_store, party_store, bakery, gym, burger_joint : 63249
Saved path: pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, bakery, gelateria, bank, pet_store, craft_shop : 60216
