Saved path: pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, salon, hardware_store, jewelry_store, bakery, gelateria, bank, music_store, florist : 64845
Saved path: grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, florist, music_store, bank, party_store, hardware_store, salon, noodle_house : 62130
Saved path: craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, bakery, bank, music_store, florist : 57963
Saved path: tech_shop, cafe, dentist, pizzeria, pet_store, bank, music_store, jewelry_store, party_store, gym, hardware_store, salon, toy_store, clothing_store, grocery_store : 69088
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store, gym, pet_store, bank, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house : 64285
Saved path: craft_shop, florist, bank, gelateria, jewelry_store, barber_shop, salon, noodle_house, grocery_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym : 69719
Saved path: cafe, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, gym : 65574
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, jewelry_store, party_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, dentist : 65413
Saved path: tech_shop, clothing_store, barber_shop, jewelry_store, party_store, gelateria, bank, pet_store, craft_shop, gym, hardware_store, bookstore, cafe, dentist, pizzeria : 71607
Saved path: bookstore, burger_joint, hardware_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house : 44752
Saved path: tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bike_shop, jewelry_store, barber_shop, clothing_store, grocery_store : 67639
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store, florist, pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store : 59649
Saved path: gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, pharmacy, music_store, bank, gelateria, craft_shop : 56391
Saved path: craft_shop, gym, burger_joint, bookstore, tech_shop, clothing_store, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, pet_store : 59193
Saved path: grocery_store, tech_shop, cafe, burger_joint, dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bike_shop, jewelry_store, barber_shop, salon : 67294
Saved path: barber_shop, bakery, bike_shop, jewelry_store, party_store, hardware_store, florist, music_store, gelateria, pet_store, pizzeria, tech_shop, cafe, grocery_store, noodle_house : 64192
Saved path: gelateria, bank, pet_store, pizzeria, cafe, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery : 69699
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pet_store, florist, music_store, gelateria, party_store, bike_shop, barber_shop, salon, toy_store : 58464
