Saved path: party_store, bakery, music_store, gelateria, pet_store, gym, hardware_store, burger_joint, dentist, pizzeria, grocery_store, noodle_house, toy_store, barber_shop, bike_shop : 62878
Saved path: pizzeria, tech_shop, grocery_store, toy_store, barber_shop, bakery, party_store, bank, music_store, florist, craft_shop, gym, burger_joint, cafe, dentist : 63775
Saved path: cafe, tech_shop, grocery_store, salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, bookstore, burger_joint : 63666
Saved path: pizzeria, gym, burger_joint, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store : 70958
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, bike_shop, pharmacy, bank : 59454
Saved path: noodle_house, barber_shop, jewelry_store, party_store, bakery, music_store, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store : 61029
Saved path: noodle_house, clothing_store, grocery_store, cafe, bookstore, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bike_shop, jewelry_store, hardware_store, salon : 61317
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, cafe, clothing_store, salon, toy_store, burger_joint, gym, bike_shop, bakery, pharmacy, bank : 62456
Saved path: bakery, party_store, bike_shop, barber_shop, noodle_house, toy_store, burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gym : 57046
Saved path: bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, grocery_store, tech_shop, cafe, dentist, pet_store, florist, gelateria, bank, pharmacy : 67098
Saved path: burger_joint, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, florist, bank, bakery, bike_shop, gym : 59824
Saved path: clothing_store, noodle_house, toy_store, hardware_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, tech_shop, cafe, bookstore, grocery_store : 51646
Saved path: bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, bank, pet_store, craft_shop, dentist : 65766
Saved path: burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, bike_shop, bakery, gelateria, bank, pet_store, craft_shop, gym : 58376
Saved path: bakery, pharmacy, gelateria, bank, florist, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, barber_shop, bike_shop : 55246
Saved path: gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, salon, jewelry_store, bike_shop, bakery, gelateria, bank, music_store : 64941
Saved path: clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, florist, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house : 50367
Saved path: toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, party_store, bike_shop, salon : 62595
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, gym, bookstore, cafe, pizzeria : 60271
Saved path: pharmacy, barber_shop, salon, toy_store, hardware_store, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank : 59204
Saved path: tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, bank, florist, gym, hardware_store, party_store, jewelry_store, salon, toy_store, clothing_store : 70321
Saved path: bookstore, cafe, tech_shop, pizzeria, florist, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store : 66636
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, pet_store, bank, pharmacy, bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, salon, noodle_house : 58790
Saved path: clothing_store, noodle_house, salon, party_store, bike_shop, music_store, bank, gelateria, florist, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store : 62365
Saved path: bakery, jewelry_store, bike_shop, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, bank, pharmacy : 66788
Saved path: pharmacy, bakery, bike_shop, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, craft_shop, pet_store, bank, music_store : 54285
Saved path: salon, barber_shop, bakery, bike_shop, music_store, bank, florist, pet_store, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, noodle_house : 60322
Saved path: music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, cafe, burger_joint, hardware_store, craft_shop, florist, bank : 64033
Saved path: bookstore, cafe, dentist, pizzeria, florist, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store : 66765
Saved path: cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store, bakery, jewelry_store, pharmacy, gelateria, music_store, florist, gym, burger_joint, bookstore : 52886
Saved path: bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, florist, craft_shop, pizzeria, dentist : 48505
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, music_store, pharmacy : 60214
Saved path: hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, dentist, bookstore, tech_shop, grocery_store, toy_store, salon : 60542
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, pet_store, gym, bookstore, tech_shop : 56227
Saved path: pet_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, toy_store, hardware_store, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, gelateria : 62479
Saved path: florist, gelateria, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop : 61182
Saved path: dentist, cafe, hardware_store, gym, pet_store, florist, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, pizzeria : 59275
Saved path: pizzeria, tech_shop, cafe, grocery_store, clothing_store, salon, toy_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, florist, craft_shop : 55027
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, hardware_store, gym, craft_shop, music_store, bank, gelateria, bakery, party_store, jewelry_store : 60505
Saved path: tech_shop, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, party_store, bike_shop, hardware_store, salon, toy_store, burger_joint, bookstore : 63221
Saved path: party_store, bakery, toy_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, dentist, craft_shop, florist, bank, music_store, bike_shop, jewelry_store : 60631
Saved path: jewelry_store, party_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, bookstore, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria : 70175
Saved path: pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, grocery_store, cafe : 67835
Saved path: gym, hardware_store, salon, noodle_house, clothing_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, party_store : 67093
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, gym, toy_store, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, music_store : 62394
Saved path: pharmacy, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint, hardware_store, gym, pet_store, florist, gelateria, bank, music_store : 52739
Saved path: noodle_house, toy_store, hardware_store, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, bank, pharmacy, party_store, bike_shop, barber_shop, salon : 66700
Saved path: burger_joint, bookstore, cafe, dentist, tech_shop, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, florist, gym, hardware_store : 68227
Saved path: craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, burger_joint, bookstore, florist : 53319
Saved path: toy_store, clothing_store, burger_joint, dentist, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon : 59242
