Saved path: tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, bakery, bike_shop, jewelry_store, pharmacy, gelateria, music_store, pizzeria, dentist, cafe : 54475
Saved path: gym, hardware_store, burger_joint, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store, bakery, party_store, jewelry_store, barber_shop, toy_store : 67296
Saved path: florist, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, burger_joint, hardware_store, salon, barber_shop, bakery, pharmacy, gelateria, bank, music_store : 59739
Saved path: music_store, craft_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, bakery, pharmacy, bank : 57273
Saved path: barber_shop, salon, clothing_store, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, florist, gelateria, bank, party_store, bike_shop : 68239
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, salon, toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank : 67042
Saved path: pizzeria, craft_shop, pet_store, florist, gelateria, bakery, jewelry_store, hardware_store, salon, toy_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop : 56762
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, burger_joint, bookstore, pizzeria, craft_shop, pet_store, florist, bank : 68905
Saved path: hardware_store, gym, burger_joint, cafe, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, bakery, jewelry_store : 59369
Saved path: grocery_store, tech_shop, cafe, bookstore, hardware_store, salon, barber_shop, bike_shop, music_store, bank, pet_store, craft_shop, pizzeria, dentist, clothing_store : 63002
Saved path: gym, craft_shop, pet_store, gelateria, bakery, bike_shop, barber_shop, salon, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store : 52441
Saved path: dentist, pizzeria, craft_shop, music_store, bank, pharmacy, party_store, gym, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, bookstore : 64407
