Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, music_store, gelateria, jewelry_store, bike_shop, bakery, hardware_store, burger_joint, bookstore : 54125
Saved path: pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bakery, bike_shop, jewelry_store, salon, grocery_store, cafe, bookstore, burger_joint, gym : 69467
Saved path: bakery, pharmacy, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, toy_store, barber_shop, jewelry_store, party_store : 62954
Saved path: jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, dentist, clothing_store, cafe, bookstore, burger_joint, hardware_store, salon, barber_shop : 65663
Saved path: salon, toy_store, gym, bike_shop, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, noodle_house : 56683
Saved path: bank, music_store, florist, pizzeria, dentist, bookstore, clothing_store, noodle_house, salon, barber_shop, party_store, hardware_store, gym, pet_store, gelateria : 68759
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, florist, bank, gelateria, hardware_store, bakery : 67820
Saved path: noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, pharmacy, bakery, jewelry_store, party_store, hardware_store, barber_shop, salon : 60295
Saved path: dentist, cafe, burger_joint, gym, craft_shop, florist, music_store, bank, gelateria, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store : 65654
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, bike_shop, barber_shop : 58011
Saved path: music_store, gelateria, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store : 56857
Saved path: cafe, dentist, noodle_house, barber_shop, bike_shop, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop, gym, hardware_store, burger_joint : 60387
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, tech_shop, dentist, pet_store : 67673
Saved path: barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, pet_store, florist, bank, pharmacy, bakery, jewelry_store : 64013
Saved path: salon, jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store : 63437
Saved path: hardware_store, burger_joint, cafe, clothing_store, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 62903
Saved path: salon, noodle_house, clothing_store, cafe, dentist, pizzeria, pet_store, gelateria, music_store, florist, gym, hardware_store, bakery, bike_shop, barber_shop : 55225
Saved path: gelateria, bank, florist, pet_store, dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, barber_shop : 69574
Saved path: florist, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, bike_shop, party_store, pharmacy, music_store : 51447
Saved path: jewelry_store, party_store, bike_shop, bakery, bank, pizzeria, tech_shop, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon : 67248
Saved path: pet_store, gym, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, florist : 60403
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, tech_shop, pizzeria, craft_shop, pet_store, hardware_store, bakery, bike_shop, jewelry_store : 56557
Saved path: pizzeria, burger_joint, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, hardware_store, gym, pet_store, gelateria, bank, music_store, florist : 73038
Saved path: bike_shop, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house : 57294
Saved path: bookstore, dentist, pet_store, florist, bank, gelateria, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe : 67610
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, cafe, bookstore, grocery_store, noodle_house, barber_shop, bakery, party_store, hardware_store, gym, florist : 59218
Saved path: bank, music_store, craft_shop, dentist, cafe, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, jewelry_store, party_store, bakery, pharmacy : 60316
Saved path: clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, florist, craft_shop, gym, hardware_store, toy_store, tech_shop : 51386
Saved path: toy_store, tech_shop, cafe, dentist, pizzeria, craft_shop, gym, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, barber_shop, salon : 71080
Saved path: dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, toy_store, grocery_store : 54140
Saved path: dentist, craft_shop, bank, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, tech_shop, bookstore, cafe : 68355
Saved path: bike_shop, jewelry_store, party_store, bakery, burger_joint, toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, dentist, florist, pet_store, gym : 58679
Saved path: bike_shop, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym, gelateria, pharmacy, bakery, party_store, jewelry_store : 61534
