Saved path: bookstore, dentist, pizzeria, florist, gelateria, jewelry_store, bike_shop, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe : 58142
Saved path: gelateria, music_store, bike_shop, party_store, bakery, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, pet_store : 56048
Saved path: clothing_store, grocery_store, dentist, burger_joint, gym, pet_store, gelateria, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, salon, noodle_house : 55782
Saved path: clothing_store, noodle_house, barber_shop, bakery, party_store, jewelry_store, hardware_store, florist, bank, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store : 69810
Saved path: noodle_house, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, pet_store, bank, gelateria, party_store, bike_shop, barber_shop, toy_store : 69406
Saved path: dentist, pizzeria, craft_shop, florist, music_store, bank, gelateria, pet_store, gym, party_store, hardware_store, salon, clothing_store, grocery_store, cafe : 65161
Saved path: bike_shop, party_store, bakery, barber_shop, salon, clothing_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria : 60466
Saved path: craft_shop, pet_store, bank, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym, toy_store, grocery_store, bookstore, cafe, pizzeria : 63145
Saved path: party_store, jewelry_store, bakery, pharmacy, gelateria, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, gym, hardware_store : 59583
Saved path: salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, craft_shop, gym, hardware_store, bookstore, cafe, dentist, tech_shop, noodle_house, toy_store : 51724
Saved path: party_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store, pizzeria, craft_shop, gym, pet_store, florist, gelateria, bank, pharmacy, bakery : 68869
Saved path: cafe, clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, music_store, jewelry_store, bike_shop, bakery, hardware_store, gym, burger_joint, bookstore : 52871
Saved path: gym, hardware_store, jewelry_store, party_store, pharmacy, music_store, pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, toy_store : 56253
Saved path: noodle_house, grocery_store, tech_shop, cafe, burger_joint, dentist, florist, music_store, gelateria, bakery, party_store, jewelry_store, barber_shop, salon, toy_store : 57249
Saved path: grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, gelateria, florist, gym, craft_shop, pizzeria, dentist : 51930
Saved path: music_store, florist, gym, craft_shop, pizzeria, dentist, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank : 68096
Saved path: noodle_house, salon, barber_shop, bakery, party_store, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store : 55404
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, florist, pet_store, gym, bakery, party_store, jewelry_store : 60075
Saved path: burger_joint, gym, hardware_store, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store : 68504
Saved path: pet_store, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, craft_shop : 60231
Saved path: cafe, dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, bookstore : 50681
Saved path: pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank : 63574
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, party_store, barber_shop, salon, hardware_store, toy_store, clothing_store, tech_shop : 65595
Saved path: jewelry_store, bike_shop, bakery, bank, pet_store, craft_shop, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store, clothing_store, salon, hardware_store : 69387
Saved path: salon, noodle_house, clothing_store, grocery_store, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, gym, hardware_store : 57975
Saved path: bike_shop, jewelry_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, pet_store, gelateria, florist, craft_shop, gym, hardware_store : 56049
Saved path: burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist : 69384
Saved path: bookstore, craft_shop, pet_store, florist, music_store, pharmacy, party_store, bakery, barber_shop, salon, hardware_store, toy_store, grocery_store, tech_shop, cafe : 54129
Saved path: pizzeria, dentist, grocery_store, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, pet_store : 62955
Saved path: cafe, bookstore, clothing_store, noodle_house, salon, hardware_store, gym, party_store, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, tech_shop : 62323
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint, hardware_store, gym, craft_shop, florist, music_store, bike_shop, jewelry_store, barber_shop, salon : 59977
Saved path: florist, pizzeria, dentist, cafe, bookstore, clothing_store, salon, hardware_store, gym, bike_shop, party_store, bakery, pharmacy, music_store, bank : 64942
Saved path: hardware_store, jewelry_store, bike_shop, pharmacy, music_store, bank, florist, pet_store, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, toy_store, salon : 69453
Saved path: bakery, party_store, barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy : 59963
Saved path: gelateria, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, pet_store, bank : 64827
Saved path: bookstore, cafe, dentist, pizzeria, pet_store, florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store : 62664
Saved path: florist, gelateria, bank, music_store, bakery, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore, grocery_store, dentist, pizzeria, pet_store : 70689
Saved path: music_store, pharmacy, bakery, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, pet_store, gelateria, bank : 56510
Saved path: gelateria, pharmacy, bakery, jewelry_store, barber_shop, hardware_store, gym, burger_joint, grocery_store, dentist, craft_shop, pet_store, florist, music_store, bank : 67442
Saved path: dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop : 61970
Saved path: pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, gym, pet_store, bank, florist, craft_shop : 72518
Saved path: gelateria, pet_store, craft_shop, dentist, tech_shop, bookstore, burger_joint, toy_store, noodle_house, salon, jewelry_store, bike_shop, hardware_store, gym, florist : 61882
Saved path: party_store, bike_shop, gym, hardware_store, salon, noodle_house, bookstore, cafe, pizzeria, pet_store, florist, bank, gelateria, pharmacy, bakery : 67150
Saved path: barber_shop, salon, clothing_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, gym, bakery, party_store, jewelry_store, bike_shop : 62035
Saved path: craft_shop, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, florist : 55521
Saved path: toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, florist, pet_store, pizzeria, gym, hardware_store, bookstore, clothing_store, noodle_house : 62654
Saved path: gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, noodle_house, salon, hardware_store, jewelry_store, party_store, bakery, music_store, craft_shop : 56872
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, pet_store, pizzeria, dentist, burger_joint : 60877
