Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store, hardware_store, bookstore, cafe, clothing_store, noodle_house, salon, barber_shop, bike_shop : 67225
Saved path: bakery, party_store, bike_shop, gym, burger_joint, bookstore, salon, noodle_house, clothing_store, tech_shop, pizzeria, florist, gelateria, music_store, pharmacy : 57202
Saved path: florist, gelateria, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, hardware_store, gym, craft_shop, pet_store : 58696
Saved path: bakery, bike_shop, jewelry_store, barber_shop, hardware_store, toy_store, clothing_store, tech_shop, cafe, bookstore, dentist, craft_shop, florist, music_store, pharmacy : 57464
Saved path: bank, music_store, pharmacy, bike_shop, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pet_store, florist, gelateria : 54610
Saved path: tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, toy_store, clothing_store : 66536
Saved path: noodle_house, clothing_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, gym, pet_store, florist, bank, music_store, pharmacy, bike_shop, barber_shop : 64558
Saved path: cafe, dentist, pizzeria, craft_shop, florist, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, burger_joint, bookstore : 66668
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, burger_joint, gym, pizzeria, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop : 60499
Saved path: gym, pet_store, bank, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint : 68675
Saved path: jewelry_store, party_store, bakery, gym, hardware_store, salon, noodle_house, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, music_store : 59945
Saved path: noodle_house, grocery_store, tech_shop, bookstore, gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, party_store, jewelry_store, salon, toy_store : 63877
Saved path: jewelry_store, party_store, bakery, bank, pet_store, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop : 63887
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, party_store, hardware_store, bookstore, florist, music_store, gelateria, pet_store, dentist : 60377
Saved path: pet_store, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, hardware_store, burger_joint, noodle_house, grocery_store, dentist, pizzeria : 71374
Saved path: barber_shop, salon, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, bank, music_store, bike_shop, party_store : 70923
Saved path: gym, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria : 69350
Saved path: bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, gym, hardware_store : 56904
Saved path: party_store, hardware_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, music_store, bakery : 56010
Saved path: barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank, music_store : 68355
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, bakery, party_store, bike_shop, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe : 56688
Saved path: barber_shop, salon, clothing_store, tech_shop, bookstore, dentist, pet_store, gelateria, music_store, florist, gym, hardware_store, party_store, bike_shop, bakery : 61673
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, gym, hardware_store, salon, noodle_house, tech_shop : 66660
Saved path: cafe, dentist, craft_shop, florist, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, toy_store, noodle_house, grocery_store, tech_shop : 64924
Saved path: pizzeria, dentist, clothing_store, cafe, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, craft_shop : 53506
Saved path: jewelry_store, hardware_store, bookstore, florist, music_store, bank, gelateria, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 71059
Saved path: toy_store, gym, hardware_store, party_store, jewelry_store, music_store, bank, florist, craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store : 61278
Saved path: barber_shop, hardware_store, gym, burger_joint, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop : 70078
Saved path: toy_store, barber_shop, bike_shop, pharmacy, gelateria, craft_shop, gym, hardware_store, bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house : 52438
Saved path: dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, gym, hardware_store, salon, clothing_store, grocery_store, bookstore : 64652
Saved path: bookstore, burger_joint, hardware_store, gym, toy_store, barber_shop, bakery, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, tech_shop : 59305
Saved path: pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store : 68863
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, gelateria, craft_shop, dentist, cafe, burger_joint, gym, toy_store, noodle_house, barber_shop, bike_shop : 65952
