Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym, music_store : 60267
Saved path: gym, hardware_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, gelateria, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint : 60070
Saved path: tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, cafe : 72363
Saved path: toy_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, hardware_store : 68481
Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, music_store, gelateria, jewelry_store, party_store : 57063
Saved path: barber_shop, bike_shop, bakery, pharmacy, music_store, pet_store, gym, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store : 55658
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, bakery, toy_store, noodle_house : 61489
Saved path: clothing_store, cafe, dentist, pizzeria, florist, bank, bakery, party_store, bike_shop, hardware_store, gym, burger_joint, toy_store, salon, noodle_house : 64951
Saved path: burger_joint, cafe, dentist, florist, music_store, pharmacy, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 50811
Saved path: bookstore, burger_joint, cafe, pizzeria, craft_shop, florist, gelateria, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 59254
Saved path: bike_shop, bakery, pharmacy, music_store, bank, gelateria, craft_shop, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop : 52217
Saved path: music_store, pharmacy, party_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, cafe, burger_joint, bookstore, dentist, craft_shop, gelateria, bank : 61650
Saved path: bike_shop, jewelry_store, party_store, bakery, music_store, bank, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, toy_store, salon, hardware_store : 66457
Saved path: bakery, party_store, bike_shop, gym, burger_joint, toy_store, salon, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, pharmacy : 66635
Saved path: bike_shop, party_store, bakery, pharmacy, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, noodle_house, salon, toy_store, hardware_store : 56752
Saved path: barber_shop, party_store, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, cafe, bookstore, burger_joint, gym, toy_store, noodle_house, salon : 56593
Saved path: barber_shop, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bakery : 60517
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, hardware_store, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop : 54573
Saved path: florist, gelateria, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, cafe, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria : 55082
Saved path: music_store, pharmacy, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, gelateria, bank : 58292
Saved path: craft_shop, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, tech_shop, dentist : 65624
Saved path: pharmacy, party_store, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria : 60383
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, gym, bookstore, dentist, grocery_store, noodle_house : 68284
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, gelateria, bank, pharmacy, party_store, bike_shop, hardware_store, gym, burger_joint, bookstore : 59367
Saved path: bank, music_store, dentist, tech_shop, bookstore, burger_joint, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria : 66049
Saved path: florist, pet_store, gym, craft_shop, pizzeria, tech_shop, cafe, burger_joint, noodle_house, barber_shop, bike_shop, bakery, pharmacy, music_store, bank : 61841
Saved path: hardware_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, party_store : 60339
Saved path: pet_store, dentist, grocery_store, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, florist : 60651
Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, jewelry_store, party_store, bakery, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore : 54130
Saved path: gelateria, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, tech_shop, dentist, bookstore, burger_joint, gym, pet_store, florist, bank : 70491
Saved path: florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, cafe, bookstore, gym : 57403
Saved path: bank, gelateria, pharmacy, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, pet_store, florist : 63442
Saved path: dentist, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, clothing_store, tech_shop, bookstore, cafe : 62722
Saved path: gym, pet_store, gelateria, bank, music_store, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe : 63940
