Saved path: bookstore, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe : 63681
Saved path: party_store, bank, gelateria, florist, gym, hardware_store, burger_joint, bookstore, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop : 67184
Saved path: bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, pet_store, florist, pharmacy, jewelry_store : 62254
Saved path: salon, noodle_house, clothing_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, gelateria, bank, party_store, jewelry_store, hardware_store, gym, toy_store : 69181
Saved path: jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, florist, music_store, gelateria, pharmacy : 59554
Saved path: grocery_store, noodle_house, salon, burger_joint, gym, bakery, party_store, bike_shop, music_store, bank, florist, craft_shop, pizzeria, tech_shop, cafe : 63689
Saved path: pizzeria, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, bookstore, burger_joint, cafe, tech_shop : 58858
Saved path: toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, bank, gelateria, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, hardware_store : 69271
Saved path: party_store, gelateria, music_store, florist, pet_store, craft_shop, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, bike_shop, jewelry_store : 58943
Saved path: burger_joint, bookstore, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy, bank, florist, pet_store, gym, hardware_store : 63923
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, hardware_store, burger_joint, cafe, grocery_store, noodle_house, barber_shop : 65266
Saved path: florist, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, dentist, bookstore, hardware_store, gym : 63993
Saved path: pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, gym, jewelry_store, pharmacy, music_store, gelateria, pet_store, craft_shop : 59570
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, party_store, music_store, bank, gelateria, pet_store : 66342
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, gelateria, bank, pet_store, gym, burger_joint, bookstore, cafe, tech_shop : 55554
Saved path: hardware_store, salon, barber_shop, jewelry_store, bike_shop, bakery, bank, music_store, florist, pet_store, craft_shop, dentist, cafe, bookstore, burger_joint : 67769
Saved path: florist, pet_store, gym, burger_joint, bookstore, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, pharmacy, gelateria, bank : 60507
Saved path: grocery_store, tech_shop, dentist, pizzeria, gym, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 72426
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bike_shop : 55837
Saved path: dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria : 52181
Saved path: craft_shop, florist, music_store, gelateria, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, dentist, burger_joint, gym : 60675
Saved path: pharmacy, gelateria, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, salon, hardware_store, gym, bakery, party_store : 54902
Saved path: bakery, party_store, jewelry_store, bike_shop, music_store, bank, pet_store, craft_shop, gym, hardware_store, bookstore, tech_shop, grocery_store, noodle_house, barber_shop : 65433
Saved path: barber_shop, salon, noodle_house, toy_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, music_store, bike_shop, party_store : 66037
Saved path: tech_shop, pizzeria, pet_store, florist, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, burger_joint, cafe, clothing_store, grocery_store : 60233
Saved path: pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, hardware_store, pharmacy, bank, florist, pet_store : 72766
Saved path: dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, party_store, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, cafe : 56691
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, grocery_store, barber_shop, bike_shop : 59958
Saved path: tech_shop, cafe, dentist, pizzeria, craft_shop, florist, bank, bakery, party_store, bike_shop, gym, burger_joint, bookstore, noodle_house, clothing_store : 61387
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, dentist, craft_shop, pet_store, gelateria, pharmacy, bakery, party_store, barber_shop, salon : 51032
