Saved path: music_store, gelateria, craft_shop, gym, hardware_store, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery, party_store, bike_shop : 57927
Saved path: hardware_store, bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, barber_shop, bike_shop : 59673
Saved path: pharmacy, bakery, party_store, bike_shop, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, pizzeria, pet_store, florist, gelateria, bank : 62830
Saved path: tech_shop, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, hardware_store, toy_store, noodle_house : 70701
Saved path: florist, music_store, bank, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, gym : 68726
Saved path: burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, florist, music_store, bike_shop, party_store : 54968
Saved path: tech_shop, bookstore, burger_joint, dentist, pet_store, florist, bank, bakery, bike_shop, jewelry_store, hardware_store, salon, noodle_house, clothing_store, grocery_store : 68034
Saved path: dentist, bookstore, hardware_store, gym, pet_store, florist, music_store, bike_shop, party_store, bakery, barber_shop, salon, grocery_store, tech_shop, pizzeria : 63291
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery, gelateria, florist, craft_shop, gym, burger_joint, cafe, dentist : 53833
Saved path: florist, gym, bakery, jewelry_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, bank, gelateria : 67539
Saved path: barber_shop, salon, noodle_house, tech_shop, hardware_store, gym, craft_shop, pet_store, florist, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop : 60426
Saved path: toy_store, hardware_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, clothing_store : 68573
Saved path: bank, pharmacy, bakery, party_store, bike_shop, gym, toy_store, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, music_store : 59285
Saved path: bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, hardware_store : 60210
Saved path: pizzeria, dentist, bookstore, burger_joint, clothing_store, noodle_house, salon, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop : 54886
Saved path: pharmacy, gelateria, music_store, florist, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, party_store : 61110
Saved path: bank, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, pet_store, florist : 65130
Saved path: clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, music_store, bank, gelateria, hardware_store, bookstore, cafe, pizzeria, tech_shop, grocery_store : 69479
Saved path: hardware_store, gym, craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint : 45733
Saved path: pet_store, craft_shop, pizzeria, dentist, clothing_store, toy_store, burger_joint, gym, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria : 65450
Saved path: noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, hardware_store, gym, burger_joint, toy_store, salon : 56475
Saved path: gym, hardware_store, jewelry_store, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store : 61101
Saved path: dentist, tech_shop, clothing_store, noodle_house, toy_store, bakery, party_store, bike_shop, gelateria, bank, music_store, florist, gym, burger_joint, bookstore : 59471
Saved path: gym, bakery, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, pet_store, bank, florist : 64125
Saved path: bike_shop, party_store, bakery, hardware_store, gym, florist, bank, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, toy_store, barber_shop : 65268
Saved path: clothing_store, grocery_store, bookstore, dentist, pizzeria, gym, pet_store, bank, pharmacy, party_store, bakery, barber_shop, salon, toy_store, noodle_house : 67448
Saved path: bank, music_store, bike_shop, jewelry_store, salon, toy_store, clothing_store, tech_shop, dentist, bookstore, burger_joint, gym, pet_store, florist, gelateria : 70111
Saved path: toy_store, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop : 55965
Saved path: bike_shop, pharmacy, bank, music_store, pizzeria, cafe, bookstore, burger_joint, gym, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store : 70828
