Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, toy_store, salon, barber_shop : 55467
Saved path: bank, florist, gym, hardware_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store : 70680
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, craft_shop, hardware_store, cafe, tech_shop : 62446
Saved path: gym, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store : 63834
Saved path: jewelry_store, bakery, bank, music_store, gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop : 68755
Saved path: bakery, hardware_store, florist, music_store, bank, pet_store, bookstore, burger_joint, cafe, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store : 66109
Saved path: clothing_store, toy_store, salon, hardware_store, gym, bike_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, pizzeria, tech_shop, cafe, bookstore : 60853
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, salon, toy_store, bookstore, cafe, burger_joint, gym, bakery, music_store, bank, pet_store, craft_shop : 58110
Saved path: bank, gelateria, florist, pet_store, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, party_store, pharmacy : 62451
Saved path: clothing_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, pizzeria, tech_shop : 68772
Saved path: gelateria, pet_store, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, burger_joint, hardware_store, bike_shop, bakery, pharmacy, music_store, bank : 54942
Saved path: bookstore, burger_joint, cafe, pizzeria, florist, gelateria, pet_store, gym, hardware_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store : 54889
Saved path: clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, noodle_house : 58951
Saved path: tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, bakery, gelateria, florist, gym, hardware_store, burger_joint, cafe, dentist, pizzeria : 51810
Saved path: party_store, pharmacy, gelateria, bank, gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 65299
Saved path: music_store, florist, pet_store, gym, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy : 59104
Saved path: toy_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bike_shop, barber_shop, salon, noodle_house : 53866
Saved path: tech_shop, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, party_store, bakery, pharmacy, gelateria, pet_store, dentist, bookstore : 56839
Saved path: florist, pet_store, gym, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria : 60975
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, florist, bank, music_store, pharmacy, bike_shop, jewelry_store : 63650
Saved path: party_store, jewelry_store, hardware_store, gym, florist, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, barber_shop, bakery : 63720
Saved path: gelateria, florist, pet_store, craft_shop, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, bike_shop, jewelry_store : 54323
Saved path: barber_shop, toy_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, dentist, craft_shop, florist, music_store, pharmacy, party_store, jewelry_store : 57031
Saved path: jewelry_store, party_store, bakery, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, music_store : 55904
Saved path: noodle_house, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, bakery, gym, bookstore : 62275
Saved path: bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, gym : 55656
Saved path: hardware_store, salon, noodle_house, grocery_store, dentist, bookstore, burger_joint, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store : 57009
Saved path: jewelry_store, pharmacy, music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, bookstore, hardware_store, toy_store, noodle_house, salon, barber_shop : 71480
Saved path: pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store : 57209
Saved path: tech_shop, pizzeria, pet_store, florist, pharmacy, party_store, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, cafe : 57858
Saved path: gelateria, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, gym, cafe, dentist, pizzeria, craft_shop : 70415
Saved path: dentist, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, bookstore, cafe : 65941
Saved path: jewelry_store, bike_shop, bakery, pharmacy, bank, florist, craft_shop, gym, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, barber_shop : 60510
Saved path: gelateria, florist, craft_shop, gym, burger_joint, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, bike_shop, bakery, bank : 58095
Saved path: pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, gym, gelateria, music_store : 61470
Saved path: pet_store, craft_shop, pizzeria, dentist, bookstore, gym, hardware_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank : 71828
Saved path: toy_store, gym, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, bike_shop, barber_shop, salon : 61992
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, gym, tech_shop, grocery_store, noodle_house, salon, barber_shop : 65765
Saved path: grocery_store, tech_shop, cafe, burger_joint, toy_store, salon, jewelry_store, bike_shop, bakery, gelateria, bank, music_store, craft_shop, pizzeria, dentist : 64787
