Saved path: salon, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, gym, craft_shop, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 54299
Saved path: burger_joint, gym, hardware_store, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, pizzeria, dentist, clothing_store, salon, toy_store : 68856
Saved path: craft_shop, dentist, burger_joint, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, gelateria, music_store, florist, pet_store : 59406
Saved path: pet_store, craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 57664
Saved path: bike_shop, jewelry_store, party_store, hardware_store, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store, music_store : 64864
Saved path: bank, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy : 61389
Saved path: florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, bank : 61661
Saved path: bike_shop, bakery, pharmacy, bank, gelateria, craft_shop, gym, hardware_store, cafe, dentist, clothing_store, noodle_house, salon, barber_shop, jewelry_store : 66041
Saved path: pet_store, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store, party_store, music_store, florist : 64057
Saved path: cafe, bookstore, dentist, pet_store, florist, music_store, bank, gelateria, bakery, party_store, hardware_store, gym, toy_store, clothing_store, tech_shop : 61124
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, craft_shop, pet_store, bank, florist, bookstore, burger_joint, tech_shop, grocery_store, toy_store, barber_shop : 68722
Saved path: dentist, pizzeria, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, gym, hardware_store, burger_joint : 69620
Saved path: jewelry_store, party_store, pharmacy, florist, craft_shop, pizzeria, dentist, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, barber_shop, bike_shop : 59724
Saved path: noodle_house, barber_shop, party_store, jewelry_store, bike_shop, gelateria, music_store, florist, pizzeria, dentist, grocery_store, bookstore, burger_joint, hardware_store, toy_store : 64156
Saved path: dentist, florist, music_store, bank, gelateria, pet_store, gym, hardware_store, party_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore : 67864
Saved path: gym, toy_store, salon, noodle_house, burger_joint, bookstore, tech_shop, dentist, craft_shop, florist, music_store, pharmacy, bakery, party_store, hardware_store : 53929
Saved path: tech_shop, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, burger_joint, toy_store, noodle_house, clothing_store : 66366
Saved path: bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, gelateria, music_store, florist, pet_store, gym, burger_joint : 56871
