Saved path: florist, gelateria, bank, music_store, bakery, party_store, bike_shop, gym, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist : 57177
Saved path: pet_store, gelateria, pharmacy, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop : 49503
Saved path: toy_store, salon, barber_shop, bakery, hardware_store, gym, pet_store, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore : 53296
Saved path: bike_shop, hardware_store, salon, toy_store, grocery_store, tech_shop, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, jewelry_store : 64458
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, bike_shop, hardware_store : 60946
Saved path: bank, music_store, pharmacy, bakery, barber_shop, salon, toy_store, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, pet_store, florist : 61816
Saved path: burger_joint, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, jewelry_store, hardware_store, gym, pet_store, craft_shop, pizzeria, dentist, bookstore : 56968
Saved path: hardware_store, party_store, pharmacy, music_store, bank, florist, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, salon, burger_joint, gym : 62348
Saved path: gym, toy_store, salon, clothing_store, grocery_store, bookstore, cafe, pizzeria, pet_store, florist, bank, music_store, pharmacy, jewelry_store, bike_shop : 71330
Saved path: music_store, gelateria, florist, pet_store, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bakery : 54080
Saved path: gym, bookstore, tech_shop, grocery_store, clothing_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, pet_store : 65473
Saved path: pet_store, gelateria, bank, music_store, jewelry_store, party_store, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, gym, craft_shop : 60496
Saved path: pharmacy, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank : 53356
Saved path: bakery, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, cafe, pizzeria, florist, gelateria, pharmacy : 55165
Saved path: party_store, jewelry_store, music_store, gelateria, craft_shop, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop : 63499
Saved path: noodle_house, clothing_store, tech_shop, dentist, cafe, burger_joint, gym, pet_store, bank, gelateria, bike_shop, party_store, jewelry_store, salon, toy_store : 68051
Saved path: barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, pharmacy, bike_shop : 53759
Saved path: barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, dentist, pet_store, florist, bank, gelateria, bakery, party_store, jewelry_store, bike_shop : 70404
Saved path: florist, music_store, gelateria, bakery, party_store, jewelry_store, bike_shop, hardware_store, gym, toy_store, burger_joint, tech_shop, dentist, pizzeria, craft_shop : 56912
Saved path: florist, bank, gelateria, hardware_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria : 61440
Saved path: bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, jewelry_store : 71306
Saved path: hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, barber_shop : 62573
Saved path: clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, bank, music_store, pharmacy, hardware_store, bakery, jewelry_store, barber_shop, noodle_house : 66965
Saved path: burger_joint, toy_store, noodle_house, grocery_store, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, barber_shop, jewelry_store, bakery, hardware_store : 67857
Saved path: dentist, pizzeria, florist, gelateria, bank, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore : 66769
Saved path: pharmacy, bike_shop, bakery, toy_store, salon, noodle_house, clothing_store, bookstore, burger_joint, gym, pet_store, florist, gelateria, bank, music_store : 55571
Saved path: florist, music_store, pet_store, craft_shop, dentist, cafe, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym : 60535
Saved path: florist, pet_store, pizzeria, tech_shop, cafe, bookstore, gym, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store, pharmacy, music_store : 64318
Saved path: tech_shop, dentist, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store : 57312
Saved path: dentist, pizzeria, craft_shop, florist, bank, pharmacy, party_store, barber_shop, salon, hardware_store, bookstore, cafe, tech_shop, grocery_store, clothing_store : 65054
Saved path: music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank : 66726
Saved path: bike_shop, gelateria, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store : 51260
Saved path: hardware_store, burger_joint, cafe, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist : 61914
Saved path: pharmacy, florist, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store : 59615
Saved path: craft_shop, pizzeria, dentist, cafe, burger_joint, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, jewelry_store, music_store, florist, pet_store : 59524
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, noodle_house, salon, barber_shop, hardware_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank : 66585
Saved path: clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store, bank, gelateria, pharmacy, bakery, barber_shop, salon, noodle_house : 58691
Saved path: tech_shop, cafe, bookstore, burger_joint, hardware_store, noodle_house, barber_shop, jewelry_store, bakery, music_store, gelateria, florist, craft_shop, pizzeria, dentist : 60731
Saved path: salon, hardware_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store : 61831
Saved path: clothing_store, grocery_store, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon, toy_store, noodle_house : 65504
Saved path: grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon : 54804
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, gym : 60738
Saved path: craft_shop, pizzeria, cafe, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, music_store, bank, florist, pet_store : 60652
Saved path: grocery_store, clothing_store, salon, hardware_store, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint, bookstore, dentist, tech_shop : 66889
