Saved path: clothing_store, grocery_store, burger_joint, hardware_store, gym, pet_store, florist, music_store, gelateria, jewelry_store, party_store, barber_shop, salon, toy_store, noodle_house : 58572
Saved path: clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint : 60794
Saved path: tech_shop, pizzeria, pet_store, bank, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe : 65203
Saved path: florist, gym, hardware_store, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, bank : 64613
Saved path: bike_shop, jewelry_store, bakery, hardware_store, gym, bank, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, toy_store, barber_shop : 71828
Saved path: pharmacy, bank, music_store, craft_shop, pizzeria, gym, burger_joint, bookstore, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bakery : 67482
Saved path: dentist, pizzeria, pet_store, florist, gelateria, pharmacy, jewelry_store, bike_shop, hardware_store, toy_store, noodle_house, burger_joint, bookstore, cafe, tech_shop : 57982
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, pet_store, bank, music_store, party_store, bike_shop, gym, toy_store, salon : 66934
Saved path: barber_shop, music_store, bank, gelateria, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, hardware_store, bakery, bike_shop, jewelry_store : 68660
Saved path: party_store, bank, florist, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bakery : 65136
Saved path: pharmacy, gelateria, bank, music_store, florist, pet_store, pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store : 65702
