Saved path: bike_shop, hardware_store, salon, noodle_house, clothing_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, jewelry_store : 67204
Saved path: hardware_store, gym, pet_store, florist, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, bookstore : 61208
Saved path: hardware_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, bookstore, grocery_store, tech_shop, cafe, burger_joint : 58201
Saved path: gelateria, jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, pet_store, florist : 62205
Saved path: pizzeria, tech_shop, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, dentist : 64509
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, florist, bank, gelateria, pharmacy : 63343
Saved path: bike_shop, party_store, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy : 54251
Saved path: tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, barber_shop, toy_store, hardware_store, gym, cafe : 69552
Saved path: gym, hardware_store, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, pizzeria : 70414
Saved path: barber_shop, toy_store, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, bank, pet_store, gym, party_store, bike_shop : 68746
Saved path: craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, cafe, dentist : 63658
Saved path: bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, hardware_store, gym, florist, gelateria, bank, music_store, pharmacy : 56546
Saved path: pet_store, florist, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, grocery_store, bookstore, hardware_store, gym, pizzeria, craft_shop : 56245
Saved path: party_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, burger_joint, cafe, dentist, pizzeria, craft_shop, music_store, bank, gelateria, hardware_store : 65501
Saved path: pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, bookstore : 61544
Saved path: jewelry_store, party_store, bakery, music_store, bank, pet_store, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 64902
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, dentist, cafe, tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery : 62313
Saved path: bakery, bike_shop, jewelry_store, gelateria, bank, florist, pet_store, dentist, tech_shop, grocery_store, bookstore, burger_joint, toy_store, salon, hardware_store : 68608
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym, music_store, bank, pet_store, craft_shop, pizzeria, cafe, clothing_store : 70096
Saved path: barber_shop, salon, hardware_store, bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, jewelry_store, bike_shop, bakery : 59816
Saved path: dentist, bookstore, hardware_store, gym, craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop : 67473
Saved path: cafe, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, bike_shop, jewelry_store, party_store, bakery, gym, toy_store, burger_joint, bookstore : 59491
Saved path: salon, toy_store, burger_joint, hardware_store, jewelry_store, bike_shop, gym, florist, music_store, bank, pet_store, dentist, grocery_store, clothing_store, noodle_house : 68636
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, gym, craft_shop, florist, music_store, bank : 62469
Saved path: craft_shop, dentist, bookstore, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, jewelry_store, bike_shop, hardware_store, gelateria, music_store, florist : 60250
Saved path: clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, florist, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store : 53324
Saved path: salon, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, bank, pharmacy, party_store, barber_shop : 61139
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, bike_shop, party_store, pharmacy, bank, music_store, craft_shop, dentist, cafe : 56324
Saved path: dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, gym, music_store, bank, gelateria, florist : 49021
Saved path: toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, hardware_store : 58051
Saved path: music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, hardware_store, gym, gelateria, bank : 61466
