Saved path: hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank, florist, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint : 65168
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, hardware_store, gym, florist, craft_shop, pizzeria, dentist, bookstore : 52315
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, bank, florist, gym, bookstore, cafe, dentist, pizzeria, tech_shop : 69172
Saved path: pharmacy, florist, pet_store, craft_shop, gym, hardware_store, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store : 56854
Saved path: barber_shop, bakery, party_store, jewelry_store, hardware_store, gym, pet_store, gelateria, bank, music_store, florist, dentist, bookstore, grocery_store, clothing_store : 69378
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, gelateria, music_store, bike_shop, jewelry_store : 62908
Saved path: dentist, craft_shop, pet_store, bank, gelateria, florist, gym, bakery, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 52521
Saved path: toy_store, clothing_store, bookstore, cafe, pizzeria, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, barber_shop, salon, hardware_store : 72538
Saved path: burger_joint, bookstore, dentist, craft_shop, pet_store, florist, music_store, bike_shop, party_store, bakery, hardware_store, salon, noodle_house, clothing_store, toy_store : 56067
Saved path: noodle_house, toy_store, salon, barber_shop, party_store, jewelry_store, gelateria, bank, music_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store : 66475
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, bike_shop, burger_joint : 59134
Saved path: pet_store, florist, music_store, party_store, bakery, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, tech_shop, pizzeria : 59684
Saved path: noodle_house, toy_store, hardware_store, party_store, bakery, gym, florist, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store : 48914
Saved path: clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, pizzeria, cafe, bookstore, burger_joint, toy_store : 60709
Saved path: burger_joint, gym, hardware_store, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store, dentist, clothing_store, noodle_house, salon, toy_store : 63918
Saved path: dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, gelateria, party_store, barber_shop, salon, clothing_store, grocery_store, tech_shop : 64030
Saved path: party_store, jewelry_store, bike_shop, bakery, barber_shop, clothing_store, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank, gym, hardware_store : 68976
Saved path: grocery_store, bookstore, burger_joint, pizzeria, pet_store, gelateria, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store : 62421
Saved path: bakery, bike_shop, jewelry_store, barber_shop, salon, clothing_store, tech_shop, cafe, burger_joint, dentist, pizzeria, pet_store, florist, gelateria, pharmacy : 60375
Saved path: pizzeria, craft_shop, pet_store, florist, bank, gelateria, bakery, jewelry_store, salon, noodle_house, toy_store, burger_joint, cafe, grocery_store, tech_shop : 65663
Saved path: salon, noodle_house, burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop : 64727
