Saved path: hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, bookstore : 64450
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, toy_store, gym, hardware_store, bike_shop, pharmacy, gelateria, bank, music_store, florist : 53987
Saved path: bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, hardware_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store : 66736
Saved path: pet_store, florist, gelateria, bank, music_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, burger_joint, gym : 69754
Saved path: bakery, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, cafe, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy : 63619
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, jewelry_store, gelateria, florist, gym, craft_shop, pizzeria, dentist, cafe : 57172
Saved path: bank, gelateria, pharmacy, jewelry_store, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pet_store, florist : 69875
Saved path: bookstore, cafe, grocery_store, noodle_house, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, gym : 57609
Saved path: dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria : 54189
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon, noodle_house, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, florist, bank : 64711
Saved path: barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, bookstore, gym, pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store : 72712
Saved path: pet_store, gym, hardware_store, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank : 64160
Saved path: bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, craft_shop, bank, pharmacy, jewelry_store : 67773
Saved path: pharmacy, music_store, bank, pet_store, pizzeria, dentist, cafe, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, bakery, jewelry_store : 67016
Saved path: music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop : 55918
Saved path: noodle_house, salon, toy_store, burger_joint, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, craft_shop, dentist, cafe, tech_shop, grocery_store : 54433
Saved path: bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, dentist, burger_joint, gym, pet_store, florist, gelateria, bank, music_store, pharmacy : 60589
Saved path: dentist, cafe, bookstore, burger_joint, gym, craft_shop, music_store, pharmacy, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, pizzeria : 59598
Saved path: pet_store, gym, burger_joint, cafe, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, gelateria, bank, florist : 62413
Saved path: hardware_store, party_store, bike_shop, bakery, bank, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house : 61689
Saved path: craft_shop, pet_store, florist, bank, music_store, bike_shop, bakery, hardware_store, salon, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria : 59578
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, dentist, pizzeria, florist, bank, gelateria, pharmacy : 66453
Saved path: bike_shop, gym, toy_store, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store : 57510
Saved path: tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, music_store, bank, gelateria, craft_shop, pizzeria, dentist : 67158
